Fecha;Hora;name;stationId;PM25;eBC;NO;PM10;SO2;BBP;CO;NO2;OZONO;NOX
2026-01-20;01:44;Kennedy;9;25.4;-9999.0;49.1;47.5;2.9;-9999.0;1.21;25.9;0.0;75.0
2026-01-20;01:44;Suba;11;18.0;;27.1;47.1;0.7;;0.53;16.0;0.6;43.1
2026-01-20;01:44;Puente Aranda;13;9.2;3.7;12.6;-9999.0;1.9;0.7;0.14;19.7;1.3;32.4
2026-01-20;01:44;MinAmbiente;17;12.0;;11.0;34.0;0.8;;0.53;13.3;5.4;24.3
2026-01-20;01:44;San Cristobal;24;6.0;0.5;-9999.0;7.0;158.9;4.4;0.15;-9999.0;10.3;-9999.0
2026-01-20;01:44;Movil 7ma;26;6.4;;;25.9;;;-9999.0;;;
2026-01-20;01:44;Bolivia;27;35.5;;-9999.0;159.9;;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;01:44;Fontibon;30;35.0;8.3;33.7;82.9;1.6;5.1;0.94;23.9;1.8;57.6
2026-01-20;01:44;Usme;32;9.6;;5.1;17.9;7.2;;0.25;12.2;5.4;17.4
2026-01-20;01:44;Jazmin;34;10.7;;9.7;39.0;1.7;;0.41;22.2;1.0;32.0
2026-01-20;01:44;Ciudad Bolivar;37;13.2;-9999.0;72.8;87.5;3.4;-9999.0;1.05;30.0;2.3;102.7
2026-01-20;01:44;Colina;38;0.0;;1.8;0.0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;01:44;Movil Fontibon;39;22.0;;-9999.0;108.6;;;-9999.0;-9999.0;;-9999.0
2026-01-20;02:33;Usaquen;1;2.6;;-9999.0;0.9;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;02:33;Carvajal - Sevillana;3;27.0;;;55.0;1.5;;1.03;;;
2026-01-20;02:33;Tunal;4;7.0;2.0;32.9;33.0;2.4;2.0;-9999.0;5.6;5.4;38.4
2026-01-20;02:33;Centro de Alto Rendimiento;5;56.6;13.7;68.0;83.9;1.1;11.0;1.01;16.5;-9999.0;84.5
2026-01-20;02:33;Las Ferias;6;21.0;;29.3;27.2;;;0.64;21.5;0.3;50.8
2026-01-20;02:33;Guaymaral;8;6.0;;37.5;36.0;1.8;;0.37;12.8;2.7;50.3
2026-01-20;02:33;Kennedy;9;22.2;-9999.0;30.5;52.9;4.5;-9999.0;0.85;21.7;0.0;52.2
2026-01-20;02:33;Suba;11;17.0;;19.1;52.7;0.6;;0.47;12.6;0.5;31.8
2026-01-20;02:33;Puente Aranda;13;8.3;3.6;13.2;-9999.0;2.0;4.3;0.21;21.1;1.1;34.3
2026-01-20;02:33;MinAmbiente;17;7.0;;2.0;11.0;0.8;;0.29;6.1;6.8;8.2
2026-01-20;02:33;San Cristobal;24;985.0;0.4;-9999.0;7.0;159.0;0.8;0.15;-9999.0;8.2;-9999.0
2026-01-20;02:33;Movil 7ma;26;5.6;;;27.6;;;-9999.0;;;
2026-01-20;02:33;Bolivia;27;29.0;;-9999.0;129.2;;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;02:33;Fontibon;30;17.0;4.8;19.9;65.9;1.2;1.5;0.73;23.4;1.8;43.4
2026-01-20;02:33;Usme;32;16.3;;2.0;27.9;6.4;;0.15;7.5;11.0;9.5
2026-01-20;02:33;Jazmin;34;12.6;;6.9;27.8;1.8;;0.27;21.9;1.4;28.8
2026-01-20;02:33;Ciudad Bolivar;37;11.6;-9999.0;39.5;79.6;3.1;-9999.0;0.52;27.5;1.6;67.0
2026-01-20;02:33;Colina;38;0.0;;1.8;0.0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;02:33;Movil Fontibon;39;19.7;;-9999.0;96.3;;;-9999.0;-9999.0;;-9999.0
2026-01-20;03:38;Usaquen;1;1.6;;-9999.0;1.6;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;03:38;Carvajal - Sevillana;3;27.0;;;55.0;1.5;;1.03;;;
2026-01-20;03:38;Tunal;4;8.0;1.5;32.0;16.0;1.8;2.9;-9999.0;4.6;5.9;36.6
2026-01-20;03:38;Centro de Alto Rendimiento;5;41.7;11.6;61.5;77.2;1.1;13.7;0.84;16.2;-9999.0;77.7
2026-01-20;03:38;Las Ferias;6;12.0;;43.9;26.8;;;0.74;23.8;0.3;67.7
2026-01-20;03:38;Guaymaral;8;9.0;;17.0;27.0;1.5;;0.37;13.1;0.4;30.1
2026-01-20;03:38;Kennedy;9;27.2;-9999.0;23.5;50.8;5.4;-9999.0;0.71;19.5;0.0;43.0
2026-01-20;03:38;Suba;11;16.0;;14.4;47.8;0.6;;0.4;13.9;0.6;28.3
2026-01-20;03:38;Puente Aranda;13;15.0;2.8;5.2;-9999.0;1.9;3.2;0.03;16.2;3.5;21.4
2026-01-20;03:38;MinAmbiente;17;5.0;;1.4;21.0;0.8;;0.29;7.1;6.2;8.5
2026-01-20;03:38;San Cristobal;24;32.0;0.4;-9999.0;10.0;159.2;1.2;0.16;-9999.0;5.9;-9999.0
2026-01-20;03:38;Movil 7ma;26;5.0;;;42.0;;;-9999.0;;;
2026-01-20;03:38;Bolivia;27;33.5;;-9999.0;99.8;;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;03:38;Fontibon;30;33.0;8.5;31.5;44.1;1.8;3.8;0.8;18.5;2.1;50.0
2026-01-20;03:38;Usme;32;12.4;;2.7;16.0;8.9;;0.14;8.8;9.2;11.4
2026-01-20;03:38;Jazmin;34;12.7;;1.2;29.7;1.4;;0.15;13.9;6.3;15.1
2026-01-20;03:38;Ciudad Bolivar;37;9.5;-9999.0;44.6;74.7;2.3;-9999.0;0.45;27.5;1.0;72.1
2026-01-20;03:38;Colina;38;0.0;;1.8;0.0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;03:38;Movil Fontibon;39;19.3;;-9999.0;91.5;;;-9999.0;-9999.0;;-9999.0
2026-01-20;04:37;Usaquen;1;3.1;;-9999.0;5.7;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;04:37;Carvajal - Sevillana;3;27.0;;;55.0;1.5;;1.03;;;
2026-01-20;04:37;Tunal;4;10.0;1.5;33.9;16.0;1.3;4.6;-9999.0;4.3;4.2;38.3
2026-01-20;04:37;Centro de Alto Rendimiento;5;40.3;11.8;56.0;71.6;1.0;7.1;0.76;13.5;-9999.0;69.6
2026-01-20;04:37;Las Ferias;6;25.0;;18.0;27.4;;;0.41;18.7;0.2;36.7
2026-01-20;04:37;Guaymaral;8;8.0;;20.6;26.0;1.3;;0.28;12.7;0.5;33.2
2026-01-20;04:37;Kennedy;9;23.1;-9999.0;33.8;48.4;4.1;-9999.0;0.76;19.8;0.0;53.6
2026-01-20;04:37;Suba;11;10.0;;8.6;40.0;0.9;;0.33;12.1;0.9;20.7
2026-01-20;04:37;Puente Aranda;13;11.2;2.6;10.8;-9999.0;1.9;1.8;-0.02;16.6;2.8;27.3
2026-01-20;04:37;MinAmbiente;17;5.0;;1.7;4.0;0.7;;0.32;7.8;5.4;9.5
2026-01-20;04:37;San Cristobal;24;985.0;0.5;-9999.0;9.0;159.1;0.3;0.18;-9999.0;5.6;-9999.0
2026-01-20;04:37;Movil 7ma;26;5.6;;;32.4;;;-9999.0;;;
2026-01-20;04:37;Bolivia;27;23.9;;-9999.0;64.0;;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;04:37;Fontibon;30;33.0;6.8;32.7;66.9;1.8;6.2;0.75;18.9;1.9;51.5
2026-01-20;04:37;Usme;32;11.6;;10.8;18.6;2.5;;0.19;13.0;4.8;23.8
2026-01-20;04:37;Jazmin;34;11.8;;5.1;22.9;1.3;;0.19;18.5;2.7;23.6
2026-01-20;04:37;Ciudad Bolivar;37;7.7;-9999.0;72.6;75.3;2.9;-9999.0;0.57;28.5;0.9;101.1
2026-01-20;04:37;Colina;38;0.0;;1.8;0.0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;04:37;Movil Fontibon;39;30.1;;-9999.0;76.9;;;-9999.0;-9999.0;;-9999.0
2026-01-20;05:34;Usaquen;1;7.3;;-9999.0;19.0;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;05:34;Carvajal - Sevillana;3;27.0;;;55.0;1.5;;1.03;;;
2026-01-20;05:34;Tunal;4;263.0;3.1;41.6;34.0;1.4;4.1;-9999.0;5.8;2.3;47.4
2026-01-20;05:34;Centro de Alto Rendimiento;5;37.3;9.0;47.0;60.9;0.9;11.3;0.57;11.6;-9999.0;58.6
2026-01-20;05:34;Las Ferias;6;10.0;;16.4;20.5;;;0.36;17.1;0.1;33.5
2026-01-20;05:34;Guaymaral;8;11.0;;41.7;18.0;2.0;;0.31;13.2;0.5;54.9
2026-01-20;05:34;Kennedy;9;23.1;-9999.0;43.0;41.2;5.0;-9999.0;0.89;20.2;0.0;63.3
2026-01-20;05:34;Suba;11;11.0;;14.9;33.6;0.8;;0.32;13.7;0.7;28.5
2026-01-20;05:34;Puente Aranda;13;9.1;5.1;29.9;-9999.0;2.1;0.0;0.11;19.0;0.7;48.4
2026-01-20;05:34;MinAmbiente;17;6.0;;7.4;17.0;0.7;;0.46;9.6;2.1;17.0
2026-01-20;05:34;San Cristobal;24;0.0;0.8;-9999.0;20.0;159.2;0.2;0.24;-9999.0;4.5;-9999.0
2026-01-20;05:34;Movil 7ma;26;6.0;;;30.3;;;-9999.0;;;
2026-01-20;05:34;Bolivia;27;23.7;;-9999.0;45.6;;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;05:34;Fontibon;30;21.0;5.0;25.9;53.9;1.5;5.7;0.72;18.6;2.0;44.4
2026-01-20;05:34;Usme;32;8.1;;17.2;17.8;6.5;;0.28;11.8;5.3;29.0
2026-01-20;05:34;Jazmin;34;8.8;;20.2;16.7;1.3;;0.25;20.9;0.2;41.2
2026-01-20;05:34;Ciudad Bolivar;37;6.9;-9999.0;110.8;72.4;3.8;-9999.0;0.82;30.7;1.0;141.4
2026-01-20;05:34;Colina;38;0.0;;1.8;0.0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;05:34;Movil Fontibon;39;22.3;;-9999.0;78.9;;;-9999.0;-9999.0;;-9999.0
2026-01-20;06:27;Usaquen;1;6.9;;-9999;25.2;-9999;;-9999;-9999;-9999;-9999
2026-01-20;06:27;Carvajal - Sevillana;3;27;;;55;1.5;;1.03;;;
2026-01-20;06:27;Tunal;4;17;3.6;47.6;42;1.5;2.7;-9999;5.9;1.1;53.5
2026-01-20;06:27;Centro de Alto Rendimiento;5;27;9.8;47.6;50.7;0.8;4.9;0.53;10.7;-9999;58.3
2026-01-20;06:27;Las Ferias;6;6;;80.8;20.4;;;0.79;35;0.4;116.1
2026-01-20;06:27;Guaymaral;8;9;;18.2;17;1.5;;0.31;13.9;0.4;32.1
2026-01-20;06:27;Kennedy;9;26.2;-9999;101.5;44.1;3.4;-9999;1.78;24.3;0;125.8
2026-01-20;06:27;Suba;11;10;;21.9;42;1;;0.5;14.8;0.7;36.7
2026-01-20;06:27;Puente Aranda;13;9.2;7.4;57;-9999;2.8;0;0.49;19.9;0.7;76.7
2026-01-20;06:27;MinAmbiente;17;15;;21.7;33;0.9;;0.76;12.5;1.1;34.2
2026-01-20;06:27;San Cristobal;24;985;1.1;-9999;17;159.1;1.2;0.36;-9999;2.9;-9999
2026-01-20;06:27;Movil 7ma;26;5.7;;;30.7;;;-9999;;;
2026-01-20;06:27;Bolivia;27;20.3;;-9999;56.4;;;-9999;-9999;-9999;-9999
2026-01-20;06:27;Fontibon;30;25;5.8;38.6;45;1.7;8.6;0.87;19.9;1.9;58.6
2026-01-20;06:27;Usme;32;6.2;;64.4;35.8;1.5;;0.8;16.9;2;81.3
2026-01-20;06:27;Jazmin;34;6.5;;67.7;22.2;2.3;;0.85;22.8;0.3;90.5
2026-01-20;06:27;Ciudad Bolivar;37;10.4;-9999;194.7;75.3;2.9;-9999;1.42;34.9;1.1;229.6
2026-01-20;06:27;Colina;38;0;;1.8;0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;06:27;Movil Fontibon;39;20.1;;-9999;65.5;;;-9999;-9999;;-9999
