Fecha;Hora;name;stationId;PM25;eBC;NO;PM10;SO2;BBP;CO;NO2;OZONO;NOX
2026-01-20;01:44;Kennedy;9;25.4;-9999.0;49.1;47.5;2.9;-9999.0;1.21;25.9;0.0;75.0
2026-01-20;01:44;Suba;11;18.0;;27.1;47.1;0.7;;0.53;16.0;0.6;43.1
2026-01-20;01:44;Puente Aranda;13;9.2;3.7;12.6;-9999.0;1.9;0.7;0.14;19.7;1.3;32.4
2026-01-20;01:44;MinAmbiente;17;12.0;;11.0;34.0;0.8;;0.53;13.3;5.4;24.3
2026-01-20;01:44;San Cristobal;24;6.0;0.5;-9999.0;7.0;158.9;4.4;0.15;-9999.0;10.3;-9999.0
2026-01-20;01:44;Movil 7ma;26;6.4;;;25.9;;;-9999.0;;;
2026-01-20;01:44;Bolivia;27;35.5;;-9999.0;159.9;;;-9999.0;-9999.0;-9999.0;-9999.0
2026-01-20;01:44;Fontibon;30;35.0;8.3;33.7;82.9;1.6;5.1;0.94;23.9;1.8;57.6
2026-01-20;01:44;Usme;32;9.6;;5.1;17.9;7.2;;0.25;12.2;5.4;17.4
2026-01-20;01:44;Jazmin;34;10.7;;9.7;39.0;1.7;;0.41;22.2;1.0;32.0
2026-01-20;01:44;Ciudad Bolivar;37;13.2;-9999.0;72.8;87.5;3.4;-9999.0;1.05;30.0;2.3;102.7
2026-01-20;01:44;Colina;38;0.0;;1.8;0.0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;01:44;Movil Fontibon;39;22.0;;-9999.0;108.6;;;-9999.0;-9999.0;;-9999.0
2026-01-20;02:33;Usaquen;1;2.6;;-9999;0.9;-9999;;-9999;-9999;-9999;-9999
2026-01-20;02:33;Carvajal - Sevillana;3;27;;;55;1.5;;1.03;;;
2026-01-20;02:33;Tunal;4;7;2;32.9;33;2.4;2;-9999;5.6;5.4;38.4
2026-01-20;02:33;Centro de Alto Rendimiento;5;56.6;13.7;68;83.9;1.1;11;1.01;16.5;-9999;84.5
2026-01-20;02:33;Las Ferias;6;21;;29.3;27.2;;;0.64;21.5;0.3;50.8
2026-01-20;02:33;Guaymaral;8;6;;37.5;36;1.8;;0.37;12.8;2.7;50.3
2026-01-20;02:33;Kennedy;9;22.2;-9999;30.5;52.9;4.5;-9999;0.85;21.7;0;52.2
2026-01-20;02:33;Suba;11;17;;19.1;52.7;0.6;;0.47;12.6;0.5;31.8
2026-01-20;02:33;Puente Aranda;13;8.3;3.6;13.2;-9999;2;4.3;0.21;21.1;1.1;34.3
2026-01-20;02:33;MinAmbiente;17;7;;2;11;0.8;;0.29;6.1;6.8;8.2
2026-01-20;02:33;San Cristobal;24;985;0.4;-9999;7;159;0.8;0.15;-9999;8.2;-9999
2026-01-20;02:33;Movil 7ma;26;5.6;;;27.6;;;-9999;;;
2026-01-20;02:33;Bolivia;27;29;;-9999;129.2;;;-9999;-9999;-9999;-9999
2026-01-20;02:33;Fontibon;30;17;4.8;19.9;65.9;1.2;1.5;0.73;23.4;1.8;43.4
2026-01-20;02:33;Usme;32;16.3;;2;27.9;6.4;;0.15;7.5;11;9.5
2026-01-20;02:33;Jazmin;34;12.6;;6.9;27.8;1.8;;0.27;21.9;1.4;28.8
2026-01-20;02:33;Ciudad Bolivar;37;11.6;-9999;39.5;79.6;3.1;-9999;0.52;27.5;1.6;67
2026-01-20;02:33;Colina;38;0;;1.8;0;0.8;;0.35;5.8;14.8;7.5
2026-01-20;02:33;Movil Fontibon;39;19.7;;-9999;96.3;;;-9999;-9999;;-9999
