Fecha;Hora;name;stationId;Lluvia;Rad Solar;Vel Viento;Presion Baro;Dir Viento;Temperatura;Humedad;Temperatura 8M
2026-01-12;03:38;Centro de Alto Rendimiento;5;0.1;0.0;1.4;564.0;8.0;12.3;88.0;
2026-01-12;03:38;Las Ferias;6;0.1;;0.9;563.0;333.0;12.0;83.0;
2026-01-12;03:38;Guaymaral;8;0.0;0.0;0.8;563.0;119.0;12.4;77.0;12.3
2026-01-12;03:38;Kennedy;9;0.0;0.0;1.2;;58.0;;83.4;
2026-01-12;03:38;Suba;11;0.2;;0.5;;319.0;11.7;;
2026-01-12;03:38;Puente Aranda;13;0.0;0.0;1.2;563.0;19.0;13.5;94.0;
2026-01-12;03:38;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;03:38;San Cristobal;24;0.0;0.0;0.7;;138.0;12.5;70.0;
2026-01-12;03:38;Movil 7ma;26;0.0;0.0;0.6;561.0;93.0;13.4;72.5;
2026-01-12;03:38;Bolivia;27;0.2;0.0;1.4;564.0;29.0;12.1;94.0;
2026-01-12;03:38;Fontibon;30;0.0;;2.2;564.0;51.0;12.3;89.0;
2026-01-12;03:38;Usme;32;0.0;0.0;;561.0;;13.4;;
2026-01-12;03:38;Jazmin;34;0.0;0.0;0.8;563.0;331.0;13.8;90.0;
2026-01-12;03:38;Ciudad Bolivar;37;0.0;0.0;;556.0;;13.3;;
2026-01-12;03:38;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;03:38;Movil Fontibon;39;;1.0;;564.0;;12.9;;
2026-01-12;04:37;Usaquen;1;0.0;;0.8;;208.0;12.8;;
2026-01-12;04:37;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;04:37;Tunal;4;0.0;0.0;0.8;562.0;183.0;;72.0;
2026-01-12;04:37;Centro de Alto Rendimiento;5;0.0;0.0;0.9;564.0;54.0;12.1;89.0;
2026-01-12;04:37;Las Ferias;6;0.0;;1.0;563.0;357.0;12.2;80.0;
2026-01-12;04:37;Guaymaral;8;0.0;0.0;0.7;563.0;302.0;12.1;81.0;11.8
2026-01-12;04:37;Kennedy;9;0.0;0.0;1.3;;84.0;;82.7;
2026-01-12;04:37;Suba;11;0.0;;0.8;;29.0;11.4;;
2026-01-12;04:37;Puente Aranda;13;0.0;0.0;0.9;563.0;17.0;13.6;91.0;
2026-01-12;04:37;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;04:37;San Cristobal;24;0.0;0.0;1.0;;109.0;12.4;71.0;
2026-01-12;04:37;Movil 7ma;26;0.0;0.0;0.9;561.0;161.0;13.5;65.9;
2026-01-12;04:37;Bolivia;27;0.0;0.0;1.9;564.0;36.0;12.1;92.0;
2026-01-12;04:37;Fontibon;30;0.0;;2.3;563.0;45.0;12.3;88.0;
2026-01-12;04:37;Usme;32;0.0;0.0;;561.0;;13.4;;
2026-01-12;04:37;Jazmin;34;0.0;0.0;0.8;563.0;333.0;13.6;88.0;
2026-01-12;04:37;Ciudad Bolivar;37;0.0;0.0;;556.0;;13.1;;
2026-01-12;04:37;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;04:37;Movil Fontibon;39;;1.0;;564.0;;13.0;;
2026-01-12;05:31;Usaquen;1;0.0;;0.8;;317.0;12.9;;
2026-01-12;05:31;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;05:31;Tunal;4;0.0;0.0;0.9;562.0;172.0;;71.0;
2026-01-12;05:31;Centro de Alto Rendimiento;5;0.0;0.0;1.1;564.0;166.0;12.1;84.0;
2026-01-12;05:31;Las Ferias;6;0.0;;0.9;563.0;13.0;12.2;76.0;
2026-01-12;05:31;Guaymaral;8;0.0;0.0;0.7;563.0;343.0;11.9;83.0;11.7
2026-01-12;05:31;Kennedy;9;0.0;0.0;0.8;;148.0;;81.2;
2026-01-12;05:31;Suba;11;0.0;;1.1;;14.0;11.3;;
2026-01-12;05:31;Puente Aranda;13;0.0;0.0;0.7;563.0;278.0;13.7;91.0;
2026-01-12;05:31;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;05:31;San Cristobal;24;0.0;0.0;1.4;;126.0;12.2;72.0;
2026-01-12;05:31;Movil 7ma;26;0.0;0.0;0.7;561.0;258.0;13.8;61.7;
2026-01-12;05:31;Bolivia;27;0.0;0.0;1.8;564.0;50.0;12.3;92.0;
2026-01-12;05:31;Fontibon;30;0.0;;1.7;564.0;29.0;12.3;88.0;
2026-01-12;05:31;Usme;32;0.0;0.0;;561.0;;13.3;;
2026-01-12;05:31;Jazmin;34;0.0;0.0;0.7;563.0;289.0;14.0;79.0;
2026-01-12;05:31;Ciudad Bolivar;37;0.0;0.0;;556.0;;13.0;;
2026-01-12;05:31;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;05:31;Movil Fontibon;39;;1.0;;564.0;;13.0;;
2026-01-12;06:25;Usaquen;1;0.0;;0.7;;210.0;12.8;;
2026-01-12;06:25;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;06:25;Tunal;4;0.0;0.0;1.0;562.0;170.0;;70.0;
2026-01-12;06:25;Centro de Alto Rendimiento;5;0.0;0.0;1.0;564.0;152.0;11.8;85.0;
2026-01-12;06:25;Las Ferias;6;0.0;;2.1;563.0;47.0;12.7;71.0;
2026-01-12;06:25;Guaymaral;8;0.0;0.0;0.6;563.0;4.0;11.7;83.0;11.6
2026-01-12;06:25;Kennedy;9;0.0;0.0;0.5;;170.0;;78.4;
2026-01-12;06:25;Suba;11;0.0;;1.6;;24.0;11.2;;
2026-01-12;06:25;Puente Aranda;13;0.0;0.0;0.5;563.0;270.0;13.7;89.0;
2026-01-12;06:25;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;06:25;San Cristobal;24;0.0;0.0;0.8;;111.0;12.2;70.0;
2026-01-12;06:25;Movil 7ma;26;0.0;0.0;0.5;561.0;325.0;13.8;61.1;
2026-01-12;06:25;Bolivia;27;0.0;0.0;1.9;564.0;53.0;12.3;91.0;
2026-01-12;06:25;Fontibon;30;0.0;;1.9;564.0;46.0;12.4;87.0;
2026-01-12;06:25;Usme;32;0.0;0.0;;561.0;;13.4;;
2026-01-12;06:25;Jazmin;34;0.0;0.0;0.7;563.0;263.0;14.1;74.0;
2026-01-12;06:25;Ciudad Bolivar;37;0.0;0.0;;557.0;;13.1;;
2026-01-12;06:25;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;06:25;Movil Fontibon;39;;0.0;;564.0;;13.1;;
2026-01-12;07:57;Usaquen;1;0.0;;0.6;;179.0;12.7;;
2026-01-12;07:57;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;07:57;Tunal;4;0.0;16.0;1.1;563.0;172.0;;71.0;
2026-01-12;07:57;Centro de Alto Rendimiento;5;0.0;10.0;2.1;565.0;122.0;12.8;75.0;
2026-01-12;07:57;Las Ferias;6;0.0;;2.4;564.0;51.0;13.0;68.0;
2026-01-12;07:57;Guaymaral;8;0.0;0.0;0.8;564.0;96.0;11.8;82.0;11.9
2026-01-12;07:57;Kennedy;9;0.0;14.0;0.7;;156.0;;77.6;
2026-01-12;07:57;Suba;11;0.0;;1.8;;15.0;11.2;;
2026-01-12;07:57;Puente Aranda;13;0.0;13.0;0.9;563.0;266.0;14.0;84.0;
2026-01-12;07:57;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;07:57;San Cristobal;24;0.0;6.0;0.9;;123.0;12.3;70.0;
2026-01-12;07:57;Movil 7ma;26;0.0;9.0;0.2;562.0;0.0;13.7;61.1;
2026-01-12;07:57;Bolivia;27;0.0;16.0;1.9;565.0;61.0;12.3;90.0;
2026-01-12;07:57;Fontibon;30;0.0;;1.0;564.0;62.0;12.5;86.0;
2026-01-12;07:57;Usme;32;0.0;9.0;;562.0;;13.3;;
2026-01-12;07:57;Jazmin;34;0.0;16.0;1.1;564.0;231.0;14.2;72.0;
2026-01-12;07:57;Ciudad Bolivar;37;0.0;8.0;;557.0;;13.0;;
2026-01-12;07:57;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;07:57;Movil Fontibon;39;;17.0;;564.0;;13.1;;
2026-01-12;08:48;Usaquen;1;0;;1;;305;13.3;;
2026-01-12;08:48;Carvajal - Sevillana;3;0;;1.6;;243;11.9;;
2026-01-12;08:48;Tunal;4;0;62;1.3;563;174;;70;
2026-01-12;08:48;Centro de Alto Rendimiento;5;0;58;1.4;565;141;13.6;73;
2026-01-12;08:48;Las Ferias;6;0;;2.4;564;47;13.8;65;
2026-01-12;08:48;Guaymaral;8;0;54;1.2;564;347;13.4;79;13
2026-01-12;08:48;Kennedy;9;0;66;1;;184;;74;
2026-01-12;08:48;Suba;11;0;;1.6;;8;12;;
2026-01-12;08:48;Puente Aranda;13;0;62;1.2;564;258;14.5;76;
2026-01-12;08:48;MinAmbiente;17;0;;-9999;;-9999;;;
2026-01-12;08:48;San Cristobal;24;0;46;0.6;;119;12.6;70;
2026-01-12;08:48;Movil 7ma;26;0;57;0.4;562;322;14;60.1;
2026-01-12;08:48;Bolivia;27;0;102;1.7;565;77;13.1;86;
2026-01-12;08:48;Fontibon;30;0;;1.8;565;89;13.5;77;
2026-01-12;08:48;Usme;32;0;50;;562;;13.5;;
2026-01-12;08:48;Jazmin;34;0;76;1.9;564;154;14.6;70;
2026-01-12;08:48;Ciudad Bolivar;37;0;57;;558;;13.1;;
2026-01-12;08:48;Colina;38;0;93;1.8;563;169;16.5;;
2026-01-12;08:48;Movil Fontibon;39;;71;;565;;14.2;;
