Fecha;Hora;name;stationId;Temperatura;Dir Viento;Lluvia;Humedad;Vel Viento;Presion Baro;Rad Solar;Temperatura 8M
2025-11-09;02:21;Centro de Alto Rendimiento;5;10.6;36.0;0.0;82.0;0.7;564.0;0.0;
2025-11-09;02:21;Las Ferias;6;12.7;2.0;0.0;78.0;1.2;563.0;;
2025-11-09;02:21;Guaymaral;8;12.2;285.0;0.0;76.0;0.7;563.0;0.0;12.2
2025-11-09;02:21;Kennedy;9;;174.0;0.0;46.2;1.7;;615.0;
2025-11-09;02:21;Suba;11;12.1;338.0;0.0;;1.0;;;
2025-11-09;02:21;Puente Aranda;13;14.6;224.0;0.0;82.0;1.2;563.0;0.0;
2025-11-09;02:21;MinAmbiente;17;;-9999.0;0.0;;-9999.0;;;
2025-11-09;02:21;San Cristobal;24;12.3;119.0;0.0;74.0;0.5;;0.0;
2025-11-09;02:21;Movil 7ma;26;14.1;143.0;0.0;61.9;0.2;561.0;0.0;
2025-11-09;02:21;Bolivia;27;13.6;64.0;0.0;83.0;1.5;564.0;0.0;
2025-11-09;02:21;Fontibon;30;13.5;350.0;0.0;81.0;0.2;564.0;;
2025-11-09;02:21;Usme;32;12.9;;0.0;;;561.0;0.0;
2025-11-09;02:21;Jazmin;34;14.4;226.0;0.0;80.0;0.7;563.0;0.0;
2025-11-09;02:21;Ciudad Bolivar;37;13.9;;0.0;;;556.0;0.0;
2025-11-09;02:21;Colina;38;14.8;271.0;0.3;;0.9;562.0;53.0;
2025-11-09;02:21;Movil Fontibon;39;13.8;;;;;564.0;0.0;
2025-11-09;03:26;Usaquen;1;12.9;107.0;0.0;;2.4;;;
2025-11-09;03:26;Carvajal - Sevillana;3;13.7;245.0;0.0;;1.1;;;
2025-11-09;03:26;Tunal;4;;171.0;0.0;78.0;0.9;562.0;1.0;
2025-11-09;03:26;Centro de Alto Rendimiento;5;9.8;26.0;0.0;84.0;0.3;564.0;0.0;
2025-11-09;03:26;Las Ferias;6;12.9;37.0;0.0;74.0;2.3;563.0;;
2025-11-09;03:26;Guaymaral;8;10.8;292.0;0.0;81.0;0.6;563.0;0.0;11.1
2025-11-09;03:26;Kennedy;9;;174.0;0.0;46.2;1.7;;615.0;
2025-11-09;03:26;Suba;11;11.1;66.0;0.0;;1.0;;;
2025-11-09;03:26;Puente Aranda;13;14.6;31.0;0.0;84.0;1.3;562.0;0.0;
2025-11-09;03:26;MinAmbiente;17;;-9999.0;0.0;;-9999.0;;;
2025-11-09;03:26;San Cristobal;24;11.9;106.0;0.0;73.0;0.8;;0.0;
2025-11-09;03:26;Movil 7ma;26;13.4;256.0;0.0;60.5;0.5;561.0;0.0;
2025-11-09;03:26;Bolivia;27;13.1;85.0;0.0;85.0;1.5;564.0;0.0;
2025-11-09;03:26;Fontibon;30;12.9;61.0;0.0;83.0;1.7;563.0;;
2025-11-09;03:26;Usme;32;13.0;;0.0;;;561.0;0.0;
2025-11-09;03:26;Jazmin;34;13.8;288.0;0.0;83.0;0.8;563.0;0.0;
2025-11-09;03:26;Ciudad Bolivar;37;12.6;;0.0;;;556.0;0.0;
2025-11-09;03:26;Colina;38;14.8;271.0;0.3;;0.9;562.0;53.0;
2025-11-09;03:26;Movil Fontibon;39;13.7;;;;;564.0;0.0;
2025-11-09;04:21;Usaquen;1;12.6;121.0;0.0;;2.0;;;
2025-11-09;04:21;Carvajal - Sevillana;3;13.5;235.0;0.0;;1.5;;;
2025-11-09;04:21;Tunal;4;;186.0;0.0;78.0;0.6;562.0;1.0;
2025-11-09;04:21;Centro de Alto Rendimiento;5;9.6;43.0;0.0;82.0;0.5;564.0;0.0;
2025-11-09;04:21;Las Ferias;6;12.6;25.0;0.0;73.0;1.2;563.0;;
2025-11-09;04:21;Guaymaral;8;9.8;302.0;0.0;83.0;0.6;563.0;0.0;10.1
2025-11-09;04:21;Kennedy;9;;174.0;0.0;46.2;1.7;;615.0;
2025-11-09;04:21;Suba;11;10.6;3.0;0.0;;0.8;;;
2025-11-09;04:21;Puente Aranda;13;14.0;193.0;0.0;86.0;0.7;562.0;0.0;
2025-11-09;04:21;MinAmbiente;17;;-9999.0;0.0;;-9999.0;;;
2025-11-09;04:21;San Cristobal;24;10.7;105.0;0.0;76.0;0.9;;0.0;
2025-11-09;04:21;Movil 7ma;26;13.1;275.0;0.0;60.5;1.2;561.0;0.0;
2025-11-09;04:21;Bolivia;27;12.4;12.0;0.0;87.0;1.3;564.0;0.0;
2025-11-09;04:21;Fontibon;30;12.7;66.0;0.0;83.0;1.5;563.0;;
2025-11-09;04:21;Usme;32;11.9;;0.0;;;561.0;0.0;
2025-11-09;04:21;Jazmin;34;13.4;234.0;0.0;83.0;0.5;563.0;0.0;
2025-11-09;04:21;Ciudad Bolivar;37;12.9;;0.0;;;556.0;0.0;
2025-11-09;04:21;Colina;38;14.8;271.0;0.3;;0.9;562.0;53.0;
2025-11-09;04:21;Movil Fontibon;39;13.0;;;;;564.0;0.0;
2025-11-09;05:22;Usaquen;1;11.8;128;0;;1.1;;;
2025-11-09;05:22;Carvajal - Sevillana;3;13.6;235;0;;2.2;;;
2025-11-09;05:22;Tunal;4;;150;0;80;0.9;562;1;
2025-11-09;05:22;Centro de Alto Rendimiento;5;8.7;53;0;85;0.6;564;0;
2025-11-09;05:22;Las Ferias;6;12.4;34;0;73;2;563;;
2025-11-09;05:22;Guaymaral;8;9;269;0;83;0.5;563;0;9.3
2025-11-09;05:22;Kennedy;9;;174;0;46.2;1.7;;615;
2025-11-09;05:22;Suba;11;9.8;16;0;;0.5;;;
2025-11-09;05:22;Puente Aranda;13;14;103;0;84;0.9;563;0;
2025-11-09;05:22;MinAmbiente;17;;-9999;0;;-9999;;;
2025-11-09;05:22;San Cristobal;24;10.2;103;0;78;1.3;;0;
2025-11-09;05:22;Movil 7ma;26;13;268;0;59.9;1;561;0;
2025-11-09;05:22;Bolivia;27;12.1;61;0;88;0.9;564;0;
2025-11-09;05:22;Fontibon;30;11.9;42;0;85;0.6;564;;
2025-11-09;05:22;Usme;32;13;;0;;;561;0;
2025-11-09;05:22;Jazmin;34;13.2;293;0;82;0.7;563;0;
2025-11-09;05:22;Ciudad Bolivar;37;13.1;;0;;;556;0;
2025-11-09;05:22;Colina;38;14.8;271;0.3;;0.9;562;53;
2025-11-09;05:22;Movil Fontibon;39;12.8;;;;;564;0;
