Fecha;Hora;name;stationId;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura
2026-01-05;01:46;Centro de Alto Rendimiento;5;81.0;1.2;0.0;566.0;0.0;;343.0;12.1
2026-01-05;01:46;Las Ferias;6;71.0;0.7;;564.0;0.0;;310.0;13.2
2026-01-05;01:46;Guaymaral;8;77.0;0.5;0.0;564.0;0.0;11.8;331.0;11.8
2026-01-05;01:46;Kennedy;9;71.4;1.3;0.0;;0.0;;351.0;
2026-01-05;01:46;Suba;11;;0.5;;;0.0;;5.0;11.9
2026-01-05;01:46;Puente Aranda;13;77.0;0.8;0.0;564.0;0.0;;301.0;14.6
2026-01-05;01:46;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;01:46;San Cristobal;24;76.0;1.2;0.0;;0.0;;108.0;12.1
2026-01-05;01:46;Movil 7ma;26;59.3;0.5;0.0;563.0;0.0;;179.0;14.6
2026-01-05;01:46;Bolivia;27;87.0;0.9;0.0;565.0;0.0;;338.0;12.6
2026-01-05;01:46;Fontibon;30;82.0;1.3;;565.0;0.0;;344.0;12.8
2026-01-05;01:46;Usme;32;;;0.0;563.0;0.0;;;13.9
2026-01-05;01:46;Jazmin;34;73.0;1.2;0.0;565.0;0.0;;318.0;14.4
2026-01-05;01:46;Ciudad Bolivar;37;;;0.0;558.0;0.0;;;13.3
2026-01-05;01:46;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;01:46;Movil Fontibon;39;;;0.0;565.0;;;;13.8
2026-01-05;02:32;Usaquen;1;;0.3;;;0.0;;62.0;12.0
2026-01-05;02:32;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;02:32;Tunal;4;70.0;1.1;0.0;563.0;0.0;;359.0;
2026-01-05;02:32;Centro de Alto Rendimiento;5;84.0;1.4;0.0;565.0;0.0;;280.0;11.8
2026-01-05;02:32;Las Ferias;6;74.0;0.9;;564.0;0.0;;233.0;12.9
2026-01-05;02:32;Guaymaral;8;79.0;0.4;0.0;564.0;0.0;11.5;290.0;11.5
2026-01-05;02:32;Kennedy;9;77.4;1.2;0.0;;0.0;;352.0;
2026-01-05;02:32;Suba;11;;0.5;;;0.0;;11.0;11.5
2026-01-05;02:32;Puente Aranda;13;84.0;0.6;0.0;564.0;0.0;;296.0;14.1
2026-01-05;02:32;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;02:32;San Cristobal;24;77.0;0.9;0.0;;0.0;;103.0;11.6
2026-01-05;02:32;Movil 7ma;26;62.2;0.2;0.0;562.0;0.0;;203.0;14.2
2026-01-05;02:32;Bolivia;27;88.0;0.5;0.0;565.0;0.0;;277.0;12.7
2026-01-05;02:32;Fontibon;30;83.0;1.1;;565.0;0.0;;327.0;12.7
2026-01-05;02:32;Usme;32;;;0.0;562.0;0.0;;;13.4
2026-01-05;02:32;Jazmin;34;83.0;1.1;0.0;564.0;0.0;;310.0;13.8
2026-01-05;02:32;Ciudad Bolivar;37;;;0.0;558.0;0.0;;;13.0
2026-01-05;02:32;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;02:32;Movil Fontibon;39;;;0.0;565.0;;;;13.4
2026-01-05;03:40;Usaquen;1;;0.8;;;0.0;;135.0;11.8
2026-01-05;03:40;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;03:40;Tunal;4;76.0;0.9;0.0;563.0;0.0;;343.0;
2026-01-05;03:40;Centro de Alto Rendimiento;5;86.0;0.3;0.0;565.0;0.0;;41.0;11.3
2026-01-05;03:40;Las Ferias;6;74.0;1.4;;564.0;0.0;;248.0;12.9
2026-01-05;03:40;Guaymaral;8;79.0;0.5;0.0;563.0;0.0;11.2;300.0;11.2
2026-01-05;03:40;Kennedy;9;79.4;1.0;0.0;;0.0;;303.0;
2026-01-05;03:40;Suba;11;;0.2;;;0.0;;351.0;10.8
2026-01-05;03:40;Puente Aranda;13;87.0;1.0;0.0;563.0;0.0;;266.0;13.5
2026-01-05;03:40;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;03:40;San Cristobal;24;79.0;1.2;0.0;;0.0;;107.0;10.8
2026-01-05;03:40;Movil 7ma;26;64.3;0.3;0.0;562.0;0.0;;268.0;13.8
2026-01-05;03:40;Bolivia;27;90.0;0.7;0.0;565.0;0.0;;276.0;11.7
2026-01-05;03:40;Fontibon;30;83.0;1.5;;564.0;0.0;;254.0;12.6
2026-01-05;03:40;Usme;32;;;0.0;562.0;0.0;;;13.1
2026-01-05;03:40;Jazmin;34;85.0;0.8;0.0;564.0;0.0;;300.0;13.4
2026-01-05;03:40;Ciudad Bolivar;37;;;0.0;557.0;0.0;;;12.5
2026-01-05;03:40;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;03:40;Movil Fontibon;39;;;0.0;564.0;;;;12.9
2026-01-05;04:37;Usaquen;1;;0.6;;;0.0;;131.0;11.5
2026-01-05;04:37;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;04:37;Tunal;4;79.0;0.8;0.0;563.0;0.0;;323.0;
2026-01-05;04:37;Centro de Alto Rendimiento;5;88.0;1.1;0.0;564.0;0.0;;193.0;10.5
2026-01-05;04:37;Las Ferias;6;76.0;0.8;;564.0;0.0;;248.0;12.2
2026-01-05;04:37;Guaymaral;8;81.0;0.6;0.0;563.0;0.0;10.8;274.0;10.9
2026-01-05;04:37;Kennedy;9;82.6;1.0;0.0;;0.0;;319.0;
2026-01-05;04:37;Suba;11;;0.3;;;0.0;;17.0;10.1
2026-01-05;04:37;Puente Aranda;13;91.0;0.9;0.0;563.0;0.0;;260.0;13.1
2026-01-05;04:37;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;04:37;San Cristobal;24;80.0;1.6;0.0;;0.0;;108.0;10.4
2026-01-05;04:37;Movil 7ma;26;65.8;0.3;0.0;562.0;0.0;;167.0;13.2
2026-01-05;04:37;Bolivia;27;91.0;0.7;0.0;564.0;0.0;;288.0;11.3
2026-01-05;04:37;Fontibon;30;87.0;0.9;;564.0;0.0;;248.0;11.9
2026-01-05;04:37;Usme;32;;;0.0;562.0;0.0;;;12.4
2026-01-05;04:37;Jazmin;34;89.0;0.7;0.0;564.0;0.0;;280.0;13.0
2026-01-05;04:37;Ciudad Bolivar;37;;;0.0;557.0;0.0;;;11.8
2026-01-05;04:37;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;04:37;Movil Fontibon;39;;;0.0;564.0;;;;12.0
2026-01-05;05:31;Usaquen;1;;0.3;;;0.0;;104.0;12.0
2026-01-05;05:31;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;05:31;Tunal;4;80.0;0.7;0.0;563.0;0.0;;347.0;
2026-01-05;05:31;Centro de Alto Rendimiento;5;89.0;0.8;0.0;565.0;0.0;;348.0;10.3
2026-01-05;05:31;Las Ferias;6;78.0;1.1;;564.0;0.0;;234.0;12.0
2026-01-05;05:31;Guaymaral;8;83.0;0.5;0.0;564.0;0.0;11.1;301.0;11.3
2026-01-05;05:31;Kennedy;9;83.9;0.9;0.0;;0.0;;330.0;
2026-01-05;05:31;Suba;11;;0.4;;;0.0;;346.0;9.8
2026-01-05;05:31;Puente Aranda;13;92.0;0.8;0.0;563.0;0.0;;289.0;12.9
2026-01-05;05:31;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;05:31;San Cristobal;24;79.0;1.3;0.0;;0.0;;106.0;10.7
2026-01-05;05:31;Movil 7ma;26;68.2;0.4;0.0;562.0;0.0;;169.0;13.0
2026-01-05;05:31;Bolivia;27;93.0;0.6;0.0;565.0;0.0;;226.0;10.8
2026-01-05;05:31;Fontibon;30;89.0;0.2;;564.0;0.0;;346.0;11.5
2026-01-05;05:31;Usme;32;;;0.0;562.0;0.0;;;12.8
2026-01-05;05:31;Jazmin;34;91.0;0.6;0.0;564.0;0.0;;292.0;12.9
2026-01-05;05:31;Ciudad Bolivar;37;;;0.0;557.0;0.0;;;11.9
2026-01-05;05:31;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;05:31;Movil Fontibon;39;;;0.0;564.0;;;;12.2
2026-01-05;06:24;Usaquen;1;;0.4;;;0;;291;12.2
2026-01-05;06:24;Carvajal - Sevillana;3;;1.6;;;0;;243;11.9
2026-01-05;06:24;Tunal;4;80;0.6;0;563;0;;332;
2026-01-05;06:24;Centro de Alto Rendimiento;5;89;0.5;0;565;0;;110;10.4
2026-01-05;06:24;Las Ferias;6;77;0.2;;564;0;;292;11.9
2026-01-05;06:24;Guaymaral;8;82;0.5;0;564;0;11.2;298;11.5
2026-01-05;06:24;Kennedy;9;85.5;0.7;0;;0;;330;
2026-01-05;06:24;Suba;11;;0.5;;;0;;348;10.1
2026-01-05;06:24;Puente Aranda;13;92;0.5;0;564;0;;267;13.1
2026-01-05;06:24;MinAmbiente;17;;-9999;;;0;;-9999;
2026-01-05;06:24;San Cristobal;24;80;1.2;0;;0;;107;10.8
2026-01-05;06:24;Movil 7ma;26;69;0.2;0;562;0;;222;12.8
2026-01-05;06:24;Bolivia;27;93;0.5;0;565;0;;319;11.4
2026-01-05;06:24;Fontibon;30;89;0.2;;564;0;;327;11.9
2026-01-05;06:24;Usme;32;;;0;562;0;;;12.8
2026-01-05;06:24;Jazmin;34;90;0.3;0;564;0;;318;13
2026-01-05;06:24;Ciudad Bolivar;37;;;0;557;0;;;12.1
2026-01-05;06:24;Colina;38;;1.8;93;563;0;;169;16.5
2026-01-05;06:24;Movil Fontibon;39;;;1;565;;;;12.5
