Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Humedad
2025-10-27;01:38;Guaymaral;8;0.6;0.0;563.0;0.0;12.6;283.0;12.8;76.0
2025-10-27;01:38;Kennedy;9;1.1;0.0;;0.0;;316.0;;69.5
2025-10-27;01:38;Suba;11;1.3;;;0.0;;27.0;13.1;
2025-10-27;01:38;Puente Aranda;13;1.1;0.0;563.0;0.0;;270.0;15.6;80.0
2025-10-27;01:38;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;01:38;San Cristobal;24;1.9;0.0;;0.0;;112.0;12.3;74.0
2025-10-27;01:38;Movil 7ma;26;0.1;0.0;561.0;0.0;;207.0;15.2;65.5
2025-10-27;01:38;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;01:38;Fontibon;30;1.5;;564.0;0.0;;27.0;14.2;80.0
2025-10-27;01:38;Usme;32;;0.0;562.0;0.0;;;14.2;
2025-10-27;01:38;Jazmin;34;1.0;0.0;563.0;0.0;;238.0;15.5;70.0
2025-10-27;01:38;Ciudad Bolivar;37;;0.0;557.0;0.0;;;14.0;
2025-10-27;01:38;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;01:38;Movil Fontibon;39;;1.0;564.0;;;;15.0;
2025-10-27;02:22;Usaquen;1;0.8;;;0.0;;93.0;12.6;
2025-10-27;02:22;Carvajal - Sevillana;3;1.1;;;0.0;;243.0;14.2;
2025-10-27;02:22;Tunal;4;0.8;1.0;562.0;0.0;;188.0;;74.0
2025-10-27;02:22;Centro de Alto Rendimiento;5;0.4;0.0;564.0;0.0;;261.0;9.7;85.0
2025-10-27;02:22;Las Ferias;6;1.3;;563.0;0.0;;1.0;13.2;73.0
2025-10-27;02:22;Guaymaral;8;0.6;0.0;563.0;0.0;11.3;280.0;11.3;80.0
2025-10-27;02:22;Kennedy;9;0.5;0.0;;0.0;;332.0;;72.5
2025-10-27;02:22;Suba;11;1.2;;;0.0;;23.0;12.0;
2025-10-27;02:22;Puente Aranda;13;1.4;0.0;562.0;0.0;;217.0;14.7;79.0
2025-10-27;02:22;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;02:22;San Cristobal;24;2.1;0.0;;0.0;;105.0;11.2;76.0
2025-10-27;02:22;Movil 7ma;26;0.2;0.0;561.0;0.0;;130.0;14.2;66.4
2025-10-27;02:22;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;02:22;Fontibon;30;0.7;;563.0;0.0;;45.0;13.2;82.0
2025-10-27;02:22;Usme;32;;0.0;561.0;0.0;;;12.8;
2025-10-27;02:22;Jazmin;34;0.5;0.0;563.0;0.0;;227.0;14.4;75.0
2025-10-27;02:22;Ciudad Bolivar;37;;0.0;556.0;0.0;;;13.0;
2025-10-27;02:22;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;02:22;Movil Fontibon;39;;0.0;563.0;;;;14.2;
2025-10-27;03:32;Usaquen;1;0.7;;;0;;155;11.6;
2025-10-27;03:32;Carvajal - Sevillana;3;0.5;;;0;;262;13.3;
2025-10-27;03:32;Tunal;4;0.6;1;562;0;;190;;75
2025-10-27;03:32;Centro de Alto Rendimiento;5;0.3;0;563;0;;345;9.2;85
2025-10-27;03:32;Las Ferias;6;0.7;;562;0;;335;12.3;77
2025-10-27;03:32;Guaymaral;8;0.7;0;562;0;10.6;326;10.4;83
2025-10-27;03:32;Kennedy;9;0.9;0;;0;;279;;79.2
2025-10-27;03:32;Suba;11;0.9;;;0;;27;11.3;
2025-10-27;03:32;Puente Aranda;13;1.7;0;562;0;;209;14;78
2025-10-27;03:32;MinAmbiente;17;-9999;;;0;;-9999;;
2025-10-27;03:32;San Cristobal;24;2.2;0;;0;;108;10.5;77
2025-10-27;03:32;Movil 7ma;26;0.2;0;561;0;;78;13.4;65.8
2025-10-27;03:32;Bolivia;27;2.3;462;565;0;;261;17.7;72
2025-10-27;03:32;Fontibon;30;1.1;;563;0;;40;12.9;84
2025-10-27;03:32;Usme;32;;0;561;0;;;11.6;
2025-10-27;03:32;Jazmin;34;0.8;0;563;0;;232;13.7;77
2025-10-27;03:32;Ciudad Bolivar;37;;0;556;0;;;12.5;
2025-10-27;03:32;Colina;38;0.9;53;562;0.3;;271;14.8;
2025-10-27;03:32;Movil Fontibon;39;;0;563;;;;13.9;
