Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Rad Solar;Presion Baro;Temperatura;Vel Viento;Lluvia;Dir Viento
2025-11-25;01:38;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;01:38;Movil Fontibon;39;;;0.0;564.0;13.7;;;
2025-11-25;02:24;Usaquen;1;;;;;13.2;0.8;0.0;134.0
2025-11-25;02:24;Carvajal - Sevillana;3;;;;;13.7;1.2;0.1;246.0
2025-11-25;02:24;Tunal;4;85.0;;1.0;562.0;;0.5;0.1;189.0
2025-11-25;02:24;Centro de Alto Rendimiento;5;88.0;;0.0;564.0;10.9;0.3;0.2;190.0
2025-11-25;02:24;Las Ferias;6;81.0;;;563.0;13.2;0.8;0.1;216.0
2025-11-25;02:24;Guaymaral;8;82.0;12.2;0.0;563.0;12.3;0.6;0.1;342.0
2025-11-25;02:24;Kennedy;9;84.2;;0.0;;;0.5;0.0;292.0
2025-11-25;02:24;Suba;11;;;;;12.0;0.6;0.1;21.0
2025-11-25;02:24;Puente Aranda;13;95.0;;0.0;563.0;14.0;1.2;0.1;218.0
2025-11-25;02:24;MinAmbiente;17;;;;;;-9999.0;0.1;-9999.0
2025-11-25;02:24;San Cristobal;24;88.0;;0.0;;11.2;1.2;0.0;104.0
2025-11-25;02:24;Movil 7ma;26;67.6;;0.0;561.0;13.7;0.2;0.0;267.0
2025-11-25;02:24;Bolivia;27;88.0;;0.0;564.0;12.9;1.1;0.1;18.0
2025-11-25;02:24;Fontibon;30;89.0;;;564.0;13.1;0.3;0.1;343.0
2025-11-25;02:24;Usme;32;;;0.0;561.0;13.1;;0.1;
2025-11-25;02:24;Jazmin;34;94.0;;0.0;563.0;14.0;0.5;0.0;225.0
2025-11-25;02:24;Ciudad Bolivar;37;;;0.0;557.0;13.0;;0.0;
2025-11-25;02:24;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;02:24;Movil Fontibon;39;;;0.0;564.0;13.6;;;
2025-11-25;03:33;Usaquen;1;;;;;12.9;0.0;0.0;350.0
2025-11-25;03:33;Carvajal - Sevillana;3;;;;;13.8;1.1;0.0;229.0
2025-11-25;03:33;Tunal;4;84.0;;1.0;562.0;;1.0;0.0;155.0
2025-11-25;03:33;Centro de Alto Rendimiento;5;88.0;;0.0;564.0;10.6;0.3;0.0;342.0
2025-11-25;03:33;Las Ferias;6;81.0;;;563.0;13.1;0.4;0.1;9.0
2025-11-25;03:33;Guaymaral;8;82.0;11.8;0.0;563.0;12.0;0.4;0.0;285.0
2025-11-25;03:33;Kennedy;9;86.2;;0.0;;;1.0;0.0;70.0
2025-11-25;03:33;Suba;11;;;;;11.7;0.7;0.0;44.0
2025-11-25;03:33;Puente Aranda;13;93.0;;0.0;563.0;14.2;0.8;0.0;159.0
2025-11-25;03:33;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;03:33;San Cristobal;24;86.0;;0.0;;11.1;1.6;0.0;101.0
2025-11-25;03:33;Movil 7ma;26;68.6;;0.0;561.0;13.5;0.4;0.0;187.0
2025-11-25;03:33;Bolivia;27;88.0;;0.0;564.0;12.9;1.2;0.0;64.0
2025-11-25;03:33;Fontibon;30;88.0;;;564.0;12.9;1.0;0.0;35.0
2025-11-25;03:33;Usme;32;;;0.0;561.0;13.0;;0.0;
2025-11-25;03:33;Jazmin;34;90.0;;0.0;563.0;13.8;0.3;0.0;148.0
2025-11-25;03:33;Ciudad Bolivar;37;;;0.0;556.0;12.7;;0.0;
2025-11-25;03:33;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;03:33;Movil Fontibon;39;;;0.0;564.0;13.4;;;
2025-11-25;04:28;Usaquen;1;;;;;13.2;1.7;0.0;124.0
2025-11-25;04:28;Carvajal - Sevillana;3;;;;;13.8;1.6;0.0;238.0
2025-11-25;04:28;Tunal;4;85.0;;1.0;562.0;;0.6;0.0;151.0
2025-11-25;04:28;Centro de Alto Rendimiento;5;88.0;;0.0;564.0;10.7;0.4;0.0;17.0
2025-11-25;04:28;Las Ferias;6;80.0;;;563.0;13.0;1.7;0.0;353.0
2025-11-25;04:28;Guaymaral;8;83.0;11.9;0.0;563.0;12.1;0.4;0.0;270.0
2025-11-25;04:28;Kennedy;9;85.9;;0.0;;;0.7;0.0;134.0
2025-11-25;04:28;Suba;11;;;;;11.6;0.9;0.0;41.0
2025-11-25;04:28;Puente Aranda;13;92.0;;0.0;562.0;14.3;0.9;0.0;64.0
2025-11-25;04:28;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;04:28;San Cristobal;24;81.0;;0.0;;11.4;1.1;0.0;97.0
2025-11-25;04:28;Movil 7ma;26;67.5;;0.0;561.0;13.5;0.3;0.0;178.0
2025-11-25;04:28;Bolivia;27;88.0;;0.0;564.0;12.9;1.3;0.0;72.0
2025-11-25;04:28;Fontibon;30;88.0;;;563.0;12.8;1.4;0.0;45.0
2025-11-25;04:28;Usme;32;;;0.0;561.0;12.9;;0.0;
2025-11-25;04:28;Jazmin;34;91.0;;0.0;563.0;13.8;0.4;0.0;247.0
2025-11-25;04:28;Ciudad Bolivar;37;;;0.0;556.0;12.4;;0.0;
2025-11-25;04:28;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;04:28;Movil Fontibon;39;;;0.0;563.0;13.5;;;
2025-11-25;05:29;Usaquen;1;;;;;13.3;0.3;0;126
2025-11-25;05:29;Carvajal - Sevillana;3;;;;;14.1;0.7;0;213
2025-11-25;05:29;Tunal;4;85;;1;562;;0.5;0;213
2025-11-25;05:29;Centro de Alto Rendimiento;5;88;;0;564;11;0.4;0;272
2025-11-25;05:29;Las Ferias;6;77;;;563;13.2;1;0;341
2025-11-25;05:29;Guaymaral;8;83;12;0;563;12.3;0.6;0;286
2025-11-25;05:29;Kennedy;9;86.5;;0;;;0.5;0;332
2025-11-25;05:29;Suba;11;;;;;11.8;0.7;0;17
2025-11-25;05:29;Puente Aranda;13;92;;0;563;14.4;0.6;0;4
2025-11-25;05:29;MinAmbiente;17;;;;;;-9999;0;-9999
2025-11-25;05:29;San Cristobal;24;81;;0;;11.6;0.9;0;114
2025-11-25;05:29;Movil 7ma;26;67.4;;0;561;13.8;0.4;0;317
2025-11-25;05:29;Bolivia;27;88;;0;564;13;1.3;0;27
2025-11-25;05:29;Fontibon;30;87;;;563;12.9;0.9;0;37
2025-11-25;05:29;Usme;32;;;0;561;12.9;;0;
2025-11-25;05:29;Jazmin;34;90;;0;563;14;0.5;0;258
2025-11-25;05:29;Ciudad Bolivar;37;;;0;556;12.7;;0;
2025-11-25;05:29;Colina;38;;;53;562;14.8;0.9;0.3;271
2025-11-25;05:29;Movil Fontibon;39;;;0;564;13.7;;;
