Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Presion Baro;Temperatura 8M;Humedad;Rad Solar;Lluvia;Temperatura
2025-10-19;11:25;Usme;32;;;564.0;;;554.0;0.0;16.9
2025-10-19;11:25;Jazmin;34;3.5;147.0;565.0;;48.0;1018.0;0.0;18.4
2025-10-19;11:25;Ciudad Bolivar;37;;;559.0;;;766.0;0.0;17.0
2025-10-19;11:25;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;11:25;Movil Fontibon;39;;;566.0;;;425.0;;17.8
2025-10-19;12:18;Usaquen;1;0.4;246.0;;;;;0.0;18.2
2025-10-19;12:18;Carvajal - Sevillana;3;3.8;247.0;;;;;0.0;20.4
2025-10-19;12:18;Tunal;4;2.4;166.0;564.0;;40.0;1097.0;0.0;
2025-10-19;12:18;Centro de Alto Rendimiento;5;2.5;115.0;566.0;;46.0;453.0;0.0;17.2
2025-10-19;12:18;Las Ferias;6;;;565.0;;46.0;;0.0;18.4
2025-10-19;12:18;Guaymaral;8;2.2;80.0;565.0;18.1;48.0;523.0;0.0;19.4
2025-10-19;12:18;Kennedy;9;1.7;183.0;;;36.7;812.0;0.1;
2025-10-19;12:18;Suba;11;3.6;98.0;;;;;0.0;18.4
2025-10-19;12:18;Puente Aranda;13;2.0;114.0;565.0;;51.0;369.0;0.0;18.2
2025-10-19;12:18;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;12:18;San Cristobal;24;2.1;120.0;;;45.0;791.0;0.0;19.1
2025-10-19;12:18;Movil 7ma;26;0.7;203.0;563.0;;38.3;598.0;0.0;21.2
2025-10-19;12:18;Bolivia;27;3.5;107.0;566.0;;59.0;800.0;0.0;17.4
2025-10-19;12:18;Fontibon;30;5.6;84.0;565.0;;47.0;;0.0;17.6
2025-10-19;12:18;Usme;32;;;563.0;;;378.0;0.0;17.2
2025-10-19;12:18;Jazmin;34;2.9;146.0;565.0;;45.0;850.0;0.0;19.1
2025-10-19;12:18;Ciudad Bolivar;37;;;559.0;;;743.0;0.0;17.9
2025-10-19;12:18;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;12:18;Movil Fontibon;39;;;566.0;;;377.0;;18.1
2025-10-19;13:30;Usaquen;1;1.5;125;;;;;0;18.1
2025-10-19;13:30;Carvajal - Sevillana;3;3.2;259;;;;;0;20.1
2025-10-19;13:30;Tunal;4;1.7;189;564;;38;554;0;
2025-10-19;13:30;Centro de Alto Rendimiento;5;1.9;143;565;;45;295;0;17.1
2025-10-19;13:30;Las Ferias;6;;;564;;44;;0;19.1
2025-10-19;13:30;Guaymaral;8;2.5;62;564;17.9;44;340;0;19.2
2025-10-19;13:30;Kennedy;9;1.4;158;;;36.4;408;0;
2025-10-19;13:30;Suba;11;3.3;87;;;;;0;19.7
2025-10-19;13:30;Puente Aranda;13;2.2;117;564;;49;374;0;18.5
2025-10-19;13:30;MinAmbiente;17;-9999;-9999;;;;;0;
2025-10-19;13:30;San Cristobal;24;2.5;107;;;50;340;0;17.3
2025-10-19;13:30;Movil 7ma;26;1.1;139;563;;40.3;267;0;20
2025-10-19;13:30;Bolivia;27;3.1;118;565;;56;865;0;18.4
2025-10-19;13:30;Fontibon;30;3.8;108;565;;43;;0;18.6
2025-10-19;13:30;Usme;32;;;563;;;304;0;17.6
2025-10-19;13:30;Jazmin;34;3.7;138;564;;46;562;0;18.7
2025-10-19;13:30;Ciudad Bolivar;37;;;558;;;512;0;17.8
2025-10-19;13:30;Colina;38;0.9;271;562;;;53;0.3;14.8
2025-10-19;13:30;Movil Fontibon;39;;;565;;;492;;18.8
