Fecha;Hora;name;stationId;Dir Viento;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Humedad;Lluvia;Rad Solar
2025-12-23;04:30;Centro de Alto Rendimiento;5;63.0;1.4;12.1;563.0;;89.0;0.0;0.0
2025-12-23;04:30;Las Ferias;6;354.0;1.2;12.1;562.0;;80.0;0.0;
2025-12-23;04:30;Guaymaral;8;289.0;0.4;10.0;562.0;9.8;84.0;0.0;0.0
2025-12-23;04:30;Kennedy;9;285.0;2.0;;;;85.7;0.0;0.0
2025-12-23;04:30;Suba;11;14.0;0.8;10.7;;;;0.0;
2025-12-23;04:30;Puente Aranda;13;291.0;1.2;14.1;562.0;;93.0;0.0;1.0
2025-12-23;04:30;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;04:30;San Cristobal;24;109.0;1.7;10.6;;;84.0;0.0;0.0
2025-12-23;04:30;Movil 7ma;26;179.0;0.4;12.9;560.0;;71.7;0.0;0.0
2025-12-23;04:30;Bolivia;27;30.0;1.7;12.4;563.0;;86.0;0.0;0.0
2025-12-23;04:30;Fontibon;30;19.0;2.2;12.7;563.0;;86.0;0.0;
2025-12-23;04:30;Usme;32;;;12.8;561.0;;;0.0;0.0
2025-12-23;04:30;Jazmin;34;272.0;0.8;13.9;562.0;;93.0;0.0;0.0
2025-12-23;04:30;Ciudad Bolivar;37;;;12.6;556.0;;;0.0;0.0
2025-12-23;04:30;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;04:30;Movil Fontibon;39;;;13.6;563.0;;;;1.0
2025-12-23;05:29;Usaquen;1;36.0;0.2;11.0;;;;0.0;
2025-12-23;05:29;Carvajal - Sevillana;3;68.0;1.3;14.2;;;;0.0;
2025-12-23;05:29;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;05:29;Centro de Alto Rendimiento;5;320.0;0.5;12.1;563.0;;89.0;0.0;0.0
2025-12-23;05:29;Las Ferias;6;6.0;0.9;12.2;562.0;;78.0;0.0;
2025-12-23;05:29;Guaymaral;8;342.0;0.5;10.3;562.0;10.2;85.0;0.0;0.0
2025-12-23;05:29;Kennedy;9;313.0;1.2;;;;85.0;0.0;0.0
2025-12-23;05:29;Suba;11;22.0;1.0;11.1;;;;0.0;
2025-12-23;05:29;Puente Aranda;13;288.0;0.9;13.9;562.0;;86.0;0.0;0.0
2025-12-23;05:29;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;05:29;San Cristobal;24;107.0;1.5;10.5;;;82.0;0.0;0.0
2025-12-23;05:29;Movil 7ma;26;236.0;0.2;12.5;561.0;;71.9;0.0;0.0
2025-12-23;05:29;Bolivia;27;30.0;1.0;12.7;563.0;;85.0;0.0;0.0
2025-12-23;05:29;Fontibon;30;34.0;0.7;12.7;563.0;;84.0;0.0;
2025-12-23;05:29;Usme;32;;;12.7;561.0;;;0.0;0.0
2025-12-23;05:29;Jazmin;34;321.0;1.1;13.6;563.0;;88.0;0.0;0.0
2025-12-23;05:29;Ciudad Bolivar;37;;;12.9;556.0;;;0.1;0.0
2025-12-23;05:29;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;05:29;Movil Fontibon;39;;;13.5;563.0;;;;0.0
2025-12-23;06:23;Usaquen;1;149;0.5;11.4;;;;0;
2025-12-23;06:23;Carvajal - Sevillana;3;4;1.2;13.7;;;;0;
2025-12-23;06:23;Tunal;4;187;1;;563;;64;0;0
2025-12-23;06:23;Centro de Alto Rendimiento;5;238;0.8;12.1;564;;89;0;0
2025-12-23;06:23;Las Ferias;6;75;0.1;12.1;563;;79;0;
2025-12-23;06:23;Guaymaral;8;296;0.4;10.8;563;10.6;85;0;0
2025-12-23;06:23;Kennedy;9;276;1;;;;84.8;0;0
2025-12-23;06:23;Suba;11;43;1.2;11.3;;;;0;
2025-12-23;06:23;Puente Aranda;13;234;0.7;13.9;563;;89;0;0
2025-12-23;06:23;MinAmbiente;17;-9999;-9999;;;;;0;
2025-12-23;06:23;San Cristobal;24;105;1.7;10.1;;;82;0;0
2025-12-23;06:23;Movil 7ma;26;306;0.5;13;561;;72.2;0;0
2025-12-23;06:23;Bolivia;27;37;0.9;12.5;564;;85;0;0
2025-12-23;06:23;Fontibon;30;193;0.2;12.8;563;;82;0;
2025-12-23;06:23;Usme;32;;;12.5;561;;;0;0
2025-12-23;06:23;Jazmin;34;3;0.6;13.6;563;;89;0;0
2025-12-23;06:23;Ciudad Bolivar;37;;;12.7;556;;;0;0
2025-12-23;06:23;Colina;38;271;0.9;14.8;562;;;0.3;53
2025-12-23;06:23;Movil Fontibon;39;;;13.5;564;;;;1
