Fecha;Hora;name;stationId;NOX;BBP;NO2;eBC;CO;PM10;PM25;OZONO;SO2;NO
2025-12-16;03:36;San Cristobal;24;-9999.0;0.7;-9999.0;2.0;0.42;29.0;23.0;0.5;0.4;-9999.0
2025-12-16;03:36;Movil 7ma;26;;;;;-9999.0;56.9;29.9;;;
2025-12-16;03:36;Bolivia;27;0.3;;0.1;;0.35;56.6;15.6;1.3;;0.2
2025-12-16;03:36;Fontibon;30;50.7;5.5;27.6;5.6;0.74;-9999.0;36.0;2.6;-9999.0;23.0
2025-12-16;03:36;Usme;32;42.1;;16.4;;0.4;101.7;37.6;1.4;3.1;25.7
2025-12-16;03:36;Jazmin;34;59.0;;24.2;;0.54;57.4;20.1;0.2;1.8;34.8
2025-12-16;03:36;Ciudad Bolivar;37;60.8;4.2;33.0;4.6;0.63;52.0;37.3;4.2;1.3;27.8
2025-12-16;03:36;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;03:36;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;68.7;26.5;;;-9999.0
2025-12-16;04:31;Usaquen;1;-9999.0;;-9999.0;;-9999.0;32.9;6.1;-9999.0;-9999.0;-9999.0
2025-12-16;04:31;Carvajal - Sevillana;3;;;;;1.32;173.0;67.0;;3.6;
2025-12-16;04:31;Tunal;4;31.8;3.0;8.8;4.0;-9999.0;74.0;0.0;1.2;1.0;23.0
2025-12-16;04:31;Centro de Alto Rendimiento;5;37.4;6.4;15.7;6.5;0.61;41.8;20.7;-9999.0;2.0;21.7
2025-12-16;04:31;Las Ferias;6;54.2;;27.1;;0.7;25.4;21.0;0.5;;27.1
2025-12-16;04:31;Guaymaral;8;25.9;;16.3;;0.44;34.0;13.0;0.4;-0.1;9.5
2025-12-16;04:31;Kennedy;9;106.4;6.1;25.9;10.9;1.12;75.4;25.9;0.2;4.1;80.5
2025-12-16;04:31;Suba;11;27.7;;17.5;;0.36;18.7;14.0;1.5;3.1;10.3
2025-12-16;04:31;Puente Aranda;13;56.2;0.1;24.6;-9999.0;0.38;30.5;13.3;1.1;4.8;31.7
2025-12-16;04:31;MinAmbiente;17;21.4;;15.7;;0.61;40.0;20.0;1.8;1.1;5.7
2025-12-16;04:31;San Cristobal;24;-9999.0;2.5;-9999.0;1.7;0.37;27.0;18.0;1.5;0.4;-9999.0
2025-12-16;04:31;Movil 7ma;26;;;;;-9999.0;49.1;30.7;;;
2025-12-16;04:31;Bolivia;27;0.3;;0.1;;0.33;48.4;12.8;2.9;;0.2
2025-12-16;04:31;Fontibon;30;33.7;7.1;22.2;4.0;0.59;-9999.0;30.0;2.6;-9999.0;11.5
2025-12-16;04:31;Usme;32;56.8;;17.3;;0.43;109.7;26.7;0.8;1.8;39.4
2025-12-16;04:31;Jazmin;34;80.0;;25.1;;0.68;48.8;25.7;0.3;3.7;54.9
2025-12-16;04:31;Ciudad Bolivar;37;106.4;7.8;39.0;9.5;0.87;48.4;28.2;1.1;1.8;67.4
2025-12-16;04:31;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;04:31;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;85.4;27.4;;;-9999.0
2025-12-16;05:30;Usaquen;1;-9999.0;;-9999.0;;-9999.0;28.8;9.1;-9999.0;-9999.0;-9999.0
2025-12-16;05:30;Carvajal - Sevillana;3;;;;;1.89;229.0;78.0;;5.6;
2025-12-16;05:30;Tunal;4;39.6;1.6;10.3;5.6;-9999.0;97.0;0.0;1.2;1.2;29.3
2025-12-16;05:30;Centro de Alto Rendimiento;5;39.1;10.9;16.2;7.2;0.65;40.3;24.8;-9999.0;2.1;22.9
2025-12-16;05:30;Las Ferias;6;47.9;;26.1;;0.49;28.5;36.0;0.4;;21.8
2025-12-16;05:30;Guaymaral;8;73.5;;16.6;;0.54;36.0;20.0;0.5;0.8;57.0
2025-12-16;05:30;Kennedy;9;79.9;11.4;25.8;8.6;1.09;57.0;38.4;0.4;5.0;54.1
2025-12-16;05:30;Suba;11;41.7;;19.5;;0.37;24.7;18.0;0.9;6.0;22.2
2025-12-16;05:30;Puente Aranda;13;76.1;0.1;23.2;-9999.0;0.57;42.2;20.8;0.8;4.8;53.1
2025-12-16;05:30;MinAmbiente;17;18.2;;12.4;;0.52;34.0;24.0;3.0;1.0;5.7
2025-12-16;05:30;San Cristobal;24;-9999.0;2.4;-9999.0;1.4;0.36;28.0;13.0;1.8;0.4;-9999.0
2025-12-16;05:30;Movil 7ma;26;;;;;-9999.0;43.5;25.0;;;
2025-12-16;05:30;Bolivia;27;0.4;;0.2;;0.46;49.5;14.7;1.1;;0.2
2025-12-16;05:30;Fontibon;30;43.3;4.5;22.8;5.7;0.62;-9999.0;26.0;2.3;-9999.0;20.5
2025-12-16;05:30;Usme;32;27.1;;16.7;;0.39;138.8;36.7;2.1;4.8;10.4
2025-12-16;05:30;Jazmin;34;93.4;;25.2;;0.73;54.7;20.3;0.2;2.4;68.2
2025-12-16;05:30;Ciudad Bolivar;37;157.1;5.3;41.9;14.1;1.13;57.8;27.8;1.7;2.4;115.2
2025-12-16;05:30;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;05:30;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;82.1;25.1;;;-9999.0
2025-12-16;06:24;Usaquen;1;-9999;;-9999;;-9999;39.9;14.6;-9999;-9999;-9999
2025-12-16;06:24;Carvajal - Sevillana;3;;;;;2.77;156;75;;4.7;
2025-12-16;06:24;Tunal;4;50.6;3.7;11.8;6.4;-9999;74;0;1.2;1.7;38.8
2025-12-16;06:24;Centro de Alto Rendimiento;5;25.2;4.8;7.8;12.5;0.82;43.7;36.2;-9999;2.2;17.4
2025-12-16;06:24;Las Ferias;6;63.8;;27.4;;0.59;21.3;21;0.6;;36.3
2025-12-16;06:24;Guaymaral;8;34;;18.5;;0.44;45;17;0.2;0.3;15.5
2025-12-16;06:24;Kennedy;9;104.3;5.6;27.2;10.1;1.47;61.4;32.5;0.2;5.6;77.1
2025-12-16;06:24;Suba;11;43.8;;20.7;;0.46;38.6;29;0.7;7.2;23.1
2025-12-16;06:24;Puente Aranda;13;87.3;0.1;26;-9999;0.74;40.9;29.4;1;2.7;61.3
2025-12-16;06:24;MinAmbiente;17;30.5;;12.7;;0.84;35;22;3.6;1;17.7
2025-12-16;06:24;San Cristobal;24;-9999;6.6;-9999;1.6;0.41;26;15;1.3;0.4;-9999
2025-12-16;06:24;Movil 7ma;26;;;;;-9999;46.7;24.2;;;
2025-12-16;06:24;Bolivia;27;0.3;;0.2;;0.62;55.6;21.9;0.5;;0.2
2025-12-16;06:24;Fontibon;30;56.4;3.2;25.8;7.4;0.77;-9999;34;2.1;-9999;30.6
2025-12-16;06:24;Usme;32;44.3;;19.2;;0.64;60.5;35;1.9;7.4;25
2025-12-16;06:24;Jazmin;34;84;;28.4;;0.82;60.9;27.4;0.2;1.9;55.5
2025-12-16;06:24;Ciudad Bolivar;37;298.9;7;41.5;26.3;2.34;70.2;30.4;1.2;2.5;257.4
2025-12-16;06:24;Colina;38;86.3;;62.8;;0.7;2.4;8;-9999;0.4;23.5
2025-12-16;06:24;Movil Fontibon;39;-9999;;-9999;;-9999;94.7;29.5;;;-9999
