Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Presion Baro;Humedad
2026-01-13;03:37;San Cristobal;24;0.6;338.0;0.0;11.8;0.0;;;84.0
2026-01-13;03:37;Movil 7ma;26;0.2;94.0;0.0;13.6;0.0;;561.0;70.5
2026-01-13;03:37;Bolivia;27;0.9;326.0;0.0;12.7;0.0;;564.0;89.0
2026-01-13;03:37;Fontibon;30;1.3;356.0;;12.6;0.0;;564.0;87.0
2026-01-13;03:37;Usme;32;;;0.0;13.3;0.0;;561.0;
2026-01-13;03:37;Jazmin;34;1.0;310.0;0.0;13.3;0.0;;563.0;89.0
2026-01-13;03:37;Ciudad Bolivar;37;;;0.0;12.1;0.0;;557.0;
2026-01-13;03:37;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;03:37;Movil Fontibon;39;;;1.0;13.2;;;564.0;
2026-01-13;04:33;Usaquen;1;0.5;54.0;;12.7;0.0;;;
2026-01-13;04:33;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;04:33;Tunal;4;0.7;302.0;0.0;;0.0;;562.0;78.0
2026-01-13;04:33;Centro de Alto Rendimiento;5;1.0;15.0;0.0;12.6;0.0;;564.0;84.0
2026-01-13;04:33;Las Ferias;6;0.5;347.0;;12.6;0.0;;563.0;75.0
2026-01-13;04:33;Guaymaral;8;0.6;328.0;0.0;12.2;0.0;12.0;563.0;78.0
2026-01-13;04:33;Kennedy;9;0.8;7.0;0.0;;0.0;;;83.7
2026-01-13;04:33;Suba;11;1.2;9.0;;11.9;0.0;;;
2026-01-13;04:33;Puente Aranda;13;0.9;3.0;0.0;13.6;0.0;;563.0;91.0
2026-01-13;04:33;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;04:33;San Cristobal;24;0.2;314.0;0.0;11.3;0.0;;;84.0
2026-01-13;04:33;Movil 7ma;26;0.4;111.0;0.0;13.6;0.0;;561.0;70.8
2026-01-13;04:33;Bolivia;27;1.4;359.0;0.0;12.7;0.0;;564.0;86.0
2026-01-13;04:33;Fontibon;30;1.3;15.0;;12.5;0.0;;564.0;87.0
2026-01-13;04:33;Usme;32;;;0.0;13.0;0.0;;561.0;
2026-01-13;04:33;Jazmin;34;0.7;296.0;0.0;13.4;0.0;;563.0;89.0
2026-01-13;04:33;Ciudad Bolivar;37;;;0.0;12.0;0.0;;557.0;
2026-01-13;04:33;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;04:33;Movil Fontibon;39;;;0.0;13.2;;;564.0;
2026-01-13;05:30;Usaquen;1;1.0;22.0;;12.7;0.0;;;
2026-01-13;05:30;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;05:30;Tunal;4;0.4;195.0;0.0;;0.0;;562.0;79.0
2026-01-13;05:30;Centro de Alto Rendimiento;5;0.9;270.0;0.0;12.4;0.0;;564.0;85.0
2026-01-13;05:30;Las Ferias;6;1.3;359.0;;12.9;0.0;;563.0;72.0
2026-01-13;05:30;Guaymaral;8;0.8;298.0;0.0;12.1;0.0;11.9;563.0;79.0
2026-01-13;05:30;Kennedy;9;0.9;351.0;0.0;;0.0;;;84.5
2026-01-13;05:30;Suba;11;1.5;17.0;;11.8;0.0;;;
2026-01-13;05:30;Puente Aranda;13;0.8;270.0;0.0;13.4;0.0;;563.0;91.0
2026-01-13;05:30;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;05:30;San Cristobal;24;0.2;271.0;0.0;11.3;0.0;;;85.0
2026-01-13;05:30;Movil 7ma;26;0.3;321.0;0.0;13.6;0.0;;561.0;70.9
2026-01-13;05:30;Bolivia;27;2.1;42.0;0.0;12.5;0.0;;564.0;86.0
2026-01-13;05:30;Fontibon;30;1.8;27.0;;12.4;0.0;;564.0;85.0
2026-01-13;05:30;Usme;32;;;0.0;12.9;0.0;;561.0;
2026-01-13;05:30;Jazmin;34;0.8;302.0;0.0;13.3;0.0;;563.0;90.0
2026-01-13;05:30;Ciudad Bolivar;37;;;0.0;12.3;0.0;;557.0;
2026-01-13;05:30;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;05:30;Movil Fontibon;39;;;0.0;13.1;;;564.0;
2026-01-13;06:25;Usaquen;1;1.2;2.0;;12.5;0.0;;;
2026-01-13;06:25;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;06:25;Tunal;4;0.6;307.0;0.0;;0.0;;562.0;79.0
2026-01-13;06:25;Centro de Alto Rendimiento;5;1.5;358.0;0.0;12.5;0.0;;564.0;83.0
2026-01-13;06:25;Las Ferias;6;2.1;360.0;;12.8;0.0;;563.0;73.0
2026-01-13;06:25;Guaymaral;8;0.4;297.0;0.0;12.1;0.0;11.7;563.0;78.0
2026-01-13;06:25;Kennedy;9;1.0;69.0;0.0;;0.0;;;84.0
2026-01-13;06:25;Suba;11;1.7;15.0;;11.7;0.0;;;
2026-01-13;06:25;Puente Aranda;13;0.9;288.0;0.0;13.5;0.0;;563.0;89.0
2026-01-13;06:25;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;06:25;San Cristobal;24;0.2;28.0;0.0;11.3;0.0;;;85.0
2026-01-13;06:25;Movil 7ma;26;0.2;358.0;0.0;13.6;0.0;;561.0;70.5
2026-01-13;06:25;Bolivia;27;2.6;50.0;0.0;12.5;0.0;;564.0;86.0
2026-01-13;06:25;Fontibon;30;3.2;46.0;;12.4;0.0;;564.0;83.0
2026-01-13;06:25;Usme;32;;;0.0;13.2;0.0;;561.0;
2026-01-13;06:25;Jazmin;34;0.8;296.0;0.0;13.3;0.0;;563.0;89.0
2026-01-13;06:25;Ciudad Bolivar;37;;;0.0;12.2;0.0;;557.0;
2026-01-13;06:25;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;06:25;Movil Fontibon;39;;;0.0;13.0;;;564.0;
2026-01-13;07:57;Usaquen;1;1.5;356.0;;12.4;0.0;;;
2026-01-13;07:57;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;07:57;Tunal;4;0.3;199.0;17.0;;0.0;;563.0;78.0
2026-01-13;07:57;Centro de Alto Rendimiento;5;2.4;45.0;16.0;12.7;0.0;;565.0;79.0
2026-01-13;07:57;Las Ferias;6;2.2;358.0;;12.7;0.0;;563.0;72.0
2026-01-13;07:57;Guaymaral;8;0.3;293.0;2.0;12.1;0.0;11.9;563.0;79.0
2026-01-13;07:57;Kennedy;9;1.0;17.0;15.0;;0.0;;;83.4
2026-01-13;07:57;Suba;11;1.5;32.0;;11.2;0.0;;;
2026-01-13;07:57;Puente Aranda;13;1.0;306.0;13.0;13.6;0.0;;563.0;87.0
2026-01-13;07:57;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;07:57;San Cristobal;24;0.2;11.0;7.0;11.4;0.0;;;85.0
2026-01-13;07:57;Movil 7ma;26;0.5;310.0;11.0;13.6;0.0;;562.0;69.1
2026-01-13;07:57;Bolivia;27;2.1;51.0;31.0;12.2;0.0;;564.0;87.0
2026-01-13;07:57;Fontibon;30;1.7;33.0;;12.1;0.0;;564.0;85.0
2026-01-13;07:57;Usme;32;;;14.0;13.1;0.0;;562.0;
2026-01-13;07:57;Jazmin;34;1.0;304.0;20.0;13.3;0.0;;564.0;88.0
2026-01-13;07:57;Ciudad Bolivar;37;;;14.0;12.3;0.0;;557.0;
2026-01-13;07:57;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;07:57;Movil Fontibon;39;;;17.0;12.7;;;564.0;
2026-01-13;08:47;Usaquen;1;1.1;0.0;;13.6;0.0;;;
2026-01-13;08:47;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;08:47;Tunal;4;0.9;196.0;179.0;;0.0;;563.0;72.0
2026-01-13;08:47;Centro de Alto Rendimiento;5;1.4;31.0;104.0;14.5;0.0;;565.0;71.0
2026-01-13;08:47;Las Ferias;6;2.3;21.0;;13.8;0.0;;564.0;68.0
2026-01-13;08:47;Guaymaral;8;0.7;293.0;21.0;13.3;0.0;13.0;564.0;77.0
2026-01-13;08:47;Kennedy;9;1.3;55.0;83.0;;0.0;;;82.6
2026-01-13;08:47;Suba;11;1.9;20.0;;12.4;0.0;;;
2026-01-13;08:47;Puente Aranda;13;1.1;332.0;114.0;14.3;0.0;;564.0;82.0
2026-01-13;08:47;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;08:47;San Cristobal;24;0.9;359.0;103.0;13.1;0.0;;;77.0
2026-01-13;08:47;Movil 7ma;26;0.6;300.0;111.0;14.5;0.0;;562.0;65.7
2026-01-13;08:47;Bolivia;27;2.5;60.0;117.0;13.0;0.0;;565.0;84.0
2026-01-13;08:47;Fontibon;30;2.6;51.0;;13.2;0.0;;565.0;80.0
2026-01-13;08:47;Usme;32;;;153.0;14.4;0.0;;562.0;
2026-01-13;08:47;Jazmin;34;1.0;336.0;153.0;14.2;0.0;;564.0;82.0
2026-01-13;08:47;Ciudad Bolivar;37;;;131.0;13.4;0.0;;558.0;
2026-01-13;08:47;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;08:47;Movil Fontibon;39;;;167.0;13.6;;;565.0;
2026-01-13;09:30;Usaquen;1;1.2;139.0;;15.0;0.0;;;
2026-01-13;09:30;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;09:30;Tunal;4;1.1;115.0;342.0;;0.0;;563.0;57.0
2026-01-13;09:30;Centro de Alto Rendimiento;5;1.3;62.0;272.0;17.1;0.0;;565.0;61.0
2026-01-13;09:30;Las Ferias;6;3.5;35.0;;16.3;0.0;;564.0;59.0
2026-01-13;09:30;Guaymaral;8;0.9;330.0;245.0;17.2;0.0;16.4;564.0;67.0
2026-01-13;09:30;Kennedy;9;1.6;78.0;239.0;;0.0;;;72.2
2026-01-13;09:30;Suba;11;2.5;26.0;;15.0;0.0;;;
2026-01-13;09:30;Puente Aranda;13;1.2;357.0;258.0;15.5;0.0;;564.0;75.0
2026-01-13;09:30;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;09:30;San Cristobal;24;1.4;84.0;239.0;15.2;0.0;;;63.0
2026-01-13;09:30;Movil 7ma;26;0.2;252.0;287.0;17.0;0.0;;563.0;55.9
2026-01-13;09:30;Bolivia;27;2.9;66.0;306.0;14.4;0.0;;565.0;78.0
2026-01-13;09:30;Fontibon;30;3.9;67.0;;15.3;0.0;;565.0;68.0
2026-01-13;09:30;Usme;32;;;246.0;15.9;0.0;;562.0;
2026-01-13;09:30;Jazmin;34;0.9;277.0;330.0;15.9;0.0;;564.0;70.0
2026-01-13;09:30;Ciudad Bolivar;37;;;290.0;15.2;0.0;;558.0;
2026-01-13;09:30;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;09:30;Movil Fontibon;39;;;367.0;15.7;;;565.0;
2026-01-13;10:31;Usaquen;1;1.9;147.0;;17.7;0.0;;;
2026-01-13;10:31;Carvajal - Sevillana;3;1.6;243.0;;11.9;0.0;;;
2026-01-13;10:31;Tunal;4;1.2;253.0;435.0;;0.0;;563.0;51.0
2026-01-13;10:31;Centro de Alto Rendimiento;5;0.4;171.0;394.0;19.2;0.0;;565.0;51.0
2026-01-13;10:31;Las Ferias;6;3.0;21.0;;17.8;0.0;;564.0;53.0
2026-01-13;10:31;Guaymaral;8;1.7;98.0;491.0;19.8;0.0;18.2;564.0;52.0
2026-01-13;10:31;Kennedy;9;1.0;86.0;379.0;;0.0;;;59.5
2026-01-13;10:31;Suba;11;2.5;32.0;;16.7;0.0;;;
2026-01-13;10:31;Puente Aranda;13;1.0;306.0;400.0;17.3;0.0;;564.0;63.0
2026-01-13;10:31;MinAmbiente;17;-9999.0;-9999.0;;;0.0;;;
2026-01-13;10:31;San Cristobal;24;1.3;110.0;299.0;17.0;0.0;;;54.0
2026-01-13;10:31;Movil 7ma;26;0.2;64.0;404.0;19.1;0.0;;562.0;47.1
2026-01-13;10:31;Bolivia;27;2.2;62.0;433.0;15.8;0.0;;565.0;73.0
2026-01-13;10:31;Fontibon;30;3.3;44.0;;16.6;0.0;;565.0;60.0
2026-01-13;10:31;Usme;32;;;431.0;17.4;0.0;;562.0;
2026-01-13;10:31;Jazmin;34;1.5;191.0;479.0;17.6;0.0;;564.0;57.0
2026-01-13;10:31;Ciudad Bolivar;37;;;482.0;16.6;0.0;;558.0;
2026-01-13;10:31;Colina;38;1.8;169.0;93.0;16.5;0.0;;563.0;
2026-01-13;10:31;Movil Fontibon;39;;;526.0;16.9;;;565.0;
2026-01-13;11:38;Usaquen;1;3;120;;17.6;0;;;
2026-01-13;11:38;Carvajal - Sevillana;3;1.6;243;;11.9;0;;;
2026-01-13;11:38;Tunal;4;1.3;212;568;;0;;563;45
2026-01-13;11:38;Centro de Alto Rendimiento;5;1.1;26;268;19.3;0;;565;50
2026-01-13;11:38;Las Ferias;6;1.6;26;;19.4;0;;564;47
2026-01-13;11:38;Guaymaral;8;2;64;487;20.5;0;19;564;48
2026-01-13;11:38;Kennedy;9;1.1;121;649;;0;;;47.6
2026-01-13;11:38;Suba;11;2.2;2;;18.1;0;;;
2026-01-13;11:38;Puente Aranda;13;1.6;231;511;18.4;0;;564;55
2026-01-13;11:38;MinAmbiente;17;-9999;-9999;;;0;;;
2026-01-13;11:38;San Cristobal;24;1.4;121;443;18.5;0;;;49
2026-01-13;11:38;Movil 7ma;26;0.3;287;165;19.4;0;;562;44.9
2026-01-13;11:38;Bolivia;27;2;45;462;17;0;;565;68
2026-01-13;11:38;Fontibon;30;2.3;36;;18.1;0;;564;53
2026-01-13;11:38;Usme;32;;;571;18.5;0;;562;
2026-01-13;11:38;Jazmin;34;1;261;529;18.6;0;;564;51
2026-01-13;11:38;Ciudad Bolivar;37;;;669;18.1;0;;557;
2026-01-13;11:38;Colina;38;1.8;169;93;16.5;0;;563;
2026-01-13;11:38;Movil Fontibon;39;;;561;17.9;;;565;
