Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M
2025-10-25;01:31;Centro de Alto Rendimiento;5;10.1;342.0;83.0;0.8;0.0;565.0;0.0;
2025-10-25;01:31;Las Ferias;6;13.5;336.0;68.0;0.6;;564.0;0.0;
2025-10-25;01:31;Guaymaral;8;13.0;316.0;75.0;0.7;0.0;564.0;0.0;12.9
2025-10-25;01:31;Kennedy;9;;187.0;74.5;1.3;0.0;;0.0;
2025-10-25;01:31;Suba;11;11.8;7.0;;1.6;;;0.0;
2025-10-25;01:31;Puente Aranda;13;14.7;204.0;77.0;1.8;0.0;563.0;0.0;
2025-10-25;01:31;MinAmbiente;17;;-9999.0;;-9999.0;;;0.0;
2025-10-25;01:31;San Cristobal;24;12.5;100.0;71.0;1.4;0.0;;0.0;
2025-10-25;01:31;Movil 7ma;26;14.7;180.0;59.3;0.1;0.0;562.0;0.0;
2025-10-25;01:31;Bolivia;27;13.3;354.0;83.0;1.2;0.0;565.0;0.0;
2025-10-25;01:31;Fontibon;30;14.1;172.0;72.0;2.0;;564.0;0.0;
2025-10-25;01:31;Usme;32;13.8;;;;0.0;562.0;0.0;
2025-10-25;01:31;Jazmin;34;14.4;194.0;76.0;0.6;0.0;564.0;0.0;
2025-10-25;01:31;Ciudad Bolivar;37;13.5;;;;0.0;557.0;0.0;
2025-10-25;01:31;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;01:31;Movil Fontibon;39;14.5;;;;0.0;564.0;;
2025-10-25;02:20;Usaquen;1;12.9;95.0;;1.3;;;0.0;
2025-10-25;02:20;Carvajal - Sevillana;3;14.1;235.0;;2.0;;;0.0;
2025-10-25;02:20;Tunal;4;;181.0;78.0;0.8;1.0;563.0;0.0;
2025-10-25;02:20;Centro de Alto Rendimiento;5;9.4;322.0;84.0;0.4;0.0;564.0;0.0;
2025-10-25;02:20;Las Ferias;6;12.5;342.0;72.0;1.0;;563.0;0.0;
2025-10-25;02:20;Guaymaral;8;11.5;330.0;78.0;0.7;0.0;563.0;0.0;11.4
2025-10-25;02:20;Kennedy;9;;174.0;75.2;0.7;0.0;;0.0;
2025-10-25;02:20;Suba;11;11.3;15.0;;1.4;;;0.0;
2025-10-25;02:20;Puente Aranda;13;14.7;183.0;76.0;1.1;0.0;563.0;0.0;
2025-10-25;02:20;MinAmbiente;17;;-9999.0;;-9999.0;;;0.0;
2025-10-25;02:20;San Cristobal;24;11.5;108.0;77.0;0.9;0.0;;0.0;
2025-10-25;02:20;Movil 7ma;26;14.3;204.0;61.1;0.2;0.0;561.0;0.0;
2025-10-25;02:20;Bolivia;27;12.6;38.0;86.0;1.4;0.0;564.0;0.0;
2025-10-25;02:20;Fontibon;30;13.1;20.0;78.0;1.2;;564.0;0.0;
2025-10-25;02:20;Usme;32;13.3;;;;0.0;562.0;0.0;
2025-10-25;02:20;Jazmin;34;14.2;207.0;77.0;0.6;0.0;563.0;0.0;
2025-10-25;02:20;Ciudad Bolivar;37;13.5;;;;0.0;557.0;0.0;
2025-10-25;02:20;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;02:20;Movil Fontibon;39;13.9;;;;0.0;564.0;;
2025-10-25;03:26;Usaquen;1;12.8;134;;1.7;;;0;
2025-10-25;03:26;Carvajal - Sevillana;3;14.3;283;;0.9;;;0;
2025-10-25;03:26;Tunal;4;;206;77;0.7;1;563;0;
2025-10-25;03:26;Centro de Alto Rendimiento;5;9.7;313;85;0.8;0;564;0;
2025-10-25;03:26;Las Ferias;6;13;343;72;1.4;;563;0;
2025-10-25;03:26;Guaymaral;8;10.9;296;82;0.6;0;563;0;10.7
2025-10-25;03:26;Kennedy;9;;312;77.1;0.8;0;;0;
2025-10-25;03:26;Suba;11;10.8;32;;1.1;;;0;
2025-10-25;03:26;Puente Aranda;13;14.6;291;81;1.1;0;563;0;
2025-10-25;03:26;MinAmbiente;17;;-9999;;-9999;;;0;
2025-10-25;03:26;San Cristobal;24;11.9;96;77;0.4;0;;0;
2025-10-25;03:26;Movil 7ma;26;14.1;77;62.1;0.2;0;561;0;
2025-10-25;03:26;Bolivia;27;12.4;356;88;1.1;0;564;0;
2025-10-25;03:26;Fontibon;30;12.6;11;83;1.4;;564;0;
2025-10-25;03:26;Usme;32;13.5;;;;0;562;0;
2025-10-25;03:26;Jazmin;34;14.2;254;80;0.6;0;563;0;
2025-10-25;03:26;Ciudad Bolivar;37;13;;;;0;557;0;
2025-10-25;03:26;Colina;38;14.8;271;;0.9;53;562;0.3;
2025-10-25;03:26;Movil Fontibon;39;13.4;;;;0;564;;
