Fecha;Hora;name;stationId;NOX;OZONO;BBP;PM10;PM25;NO2;CO;eBC;SO2;NO
2026-01-08;04:33;Tunal;4;36.6;13.1;8.8;28.0;13.0;6.3;-9999.0;1.4;-0.2;30.3
2026-01-08;04:33;Centro de Alto Rendimiento;5;7.0;-9999.0;15.7;20.8;11.7;5.9;0.1;1.0;0.7;1.0
2026-01-08;04:33;Las Ferias;6;4.7;17.8;;11.6;7.0;4.2;0.16;;;0.5
2026-01-08;04:33;Guaymaral;8;3.0;11.2;;16.0;10.0;5.0;0.24;;0.2;-1.9
2026-01-08;04:33;Kennedy;9;36.4;2.3;-9999.0;29.2;13.5;24.7;0.76;-9999.0;0.6;11.7
2026-01-08;04:33;Suba;11;7.9;6.6;;17.2;10.0;7.5;0.21;;1.1;0.4
2026-01-08;04:33;Puente Aranda;13;22.5;8.0;7.4;-9999.0;13.1;18.3;0.06;1.1;1.2;4.2
2026-01-08;04:33;MinAmbiente;17;1.9;20.0;;16.0;6.0;1.9;0.16;;0.6;0.0
2026-01-08;04:33;San Cristobal;24;1.4;16.6;11.2;11.0;6.0;0.1;0.14;0.4;1.0;1.4
2026-01-08;04:33;Movil 7ma;26;;;;10.3;12.0;;-9999.0;;;
2026-01-08;04:33;Bolivia;27;-9999.0;-9999.0;;29.8;7.8;-9999.0;-9999.0;;;-9999.0
2026-01-08;04:33;Fontibon;30;17.7;6.3;15.0;17.0;9.0;15.8;0.43;1.8;1.0;2.0
2026-01-08;04:33;Usme;32;16.9;12.3;;22.1;10.2;14.0;0.17;;0.5;2.9
2026-01-08;04:33;Jazmin;34;27.5;4.2;;25.1;14.0;23.7;0.29;;0.7;3.9
2026-01-08;04:33;Ciudad Bolivar;37;44.7;8.1;-9999.0;22.7;6.2;23.8;0.47;-9999.0;1.0;21.0
2026-01-08;04:33;Colina;38;7.5;14.8;;0.0;0.0;5.8;0.35;;0.8;1.8
2026-01-08;04:33;Movil Fontibon;39;-9999.0;;;24.8;15.7;-9999.0;-9999.0;;;-9999.0
2026-01-08;05:30;Usaquen;1;-9999.0;-9999.0;;8.7;2.6;-9999.0;-9999.0;;-9999.0;-9999.0
2026-01-08;05:30;Carvajal - Sevillana;3;;;;55.0;27.0;;1.03;;1.5;
2026-01-08;05:30;Tunal;4;50.7;7.8;6.1;37.0;13.0;8.9;-9999.0;4.1;0.0;41.8
2026-01-08;05:30;Centro de Alto Rendimiento;5;5.0;-9999.0;15.0;15.8;9.3;4.5;0.11;1.2;0.7;0.5
2026-01-08;05:30;Las Ferias;6;4.7;17.5;;8.5;8.0;4.6;0.15;;;0.1
2026-01-08;05:30;Guaymaral;8;3.9;12.0;;23.0;8.0;4.8;0.23;;0.3;-0.9
2026-01-08;05:30;Kennedy;9;40.7;6.4;-9999.0;22.4;10.0;22.1;0.85;-9999.0;0.6;18.6
2026-01-08;05:30;Suba;11;10.6;6.4;;12.5;14.0;8.9;0.2;;1.2;1.7
2026-01-08;05:30;Puente Aranda;13;20.7;6.1;5.2;-9999.0;10.0;16.1;0.07;1.7;1.1;4.6
2026-01-08;05:30;MinAmbiente;17;3.1;18.0;;12.0;6.0;2.9;0.18;;0.6;0.2
2026-01-08;05:30;San Cristobal;24;1.5;11.1;15.8;12.0;985.0;0.1;0.15;0.5;1.1;1.4
2026-01-08;05:30;Movil 7ma;26;;;;8.5;9.5;;-9999.0;;;
2026-01-08;05:30;Bolivia;27;-9999.0;-9999.0;;25.4;11.0;-9999.0;-9999.0;;;-9999.0
2026-01-08;05:30;Fontibon;30;18.2;4.9;14.2;16.0;6.0;15.8;0.45;2.1;0.9;2.4
2026-01-08;05:30;Usme;32;15.9;11.4;;14.9;8.2;13.6;0.19;;0.4;2.2
2026-01-08;05:30;Jazmin;34;17.7;8.9;;21.3;12.6;16.8;0.26;;0.4;0.9
2026-01-08;05:30;Ciudad Bolivar;37;54.6;3.8;-9999.0;19.6;5.3;31.9;0.54;-9999.0;0.7;22.7
2026-01-08;05:30;Colina;38;7.5;14.8;;0.0;0.0;5.8;0.35;;0.8;1.8
2026-01-08;05:30;Movil Fontibon;39;-9999.0;;;21.0;11.5;-9999.0;-9999.0;;;-9999.0
2026-01-08;06:25;Usaquen;1;-9999.0;-9999.0;;1.6;1.3;-9999.0;-9999.0;;-9999.0;-9999.0
2026-01-08;06:25;Carvajal - Sevillana;3;;;;55.0;27.0;;1.03;;1.5;
2026-01-08;06:25;Tunal;4;43.1;7.1;6.9;27.0;9.0;8.9;-9999.0;3.1;-0.3;34.2
2026-01-08;06:25;Centro de Alto Rendimiento;5;10.1;-9999.0;11.6;13.5;7.2;9.0;0.14;1.7;0.7;1.2
2026-01-08;06:25;Las Ferias;6;13.9;12.7;;7.4;12.0;10.2;0.24;;;3.7
2026-01-08;06:25;Guaymaral;8;8.8;11.6;;16.0;8.0;8.6;0.24;;0.2;0.2
2026-01-08;06:25;Kennedy;9;68.6;2.8;-9999.0;17.9;14.0;28.3;1.47;-9999.0;0.6;40.3
2026-01-08;06:25;Suba;11;35.4;2.4;;10.3;11.0;17.7;0.43;;1.8;17.8
2026-01-08;06:25;Puente Aranda;13;36.2;3.2;5.0;-9999.0;7.6;23.3;0.26;2.9;1.3;12.8
2026-01-08;06:25;MinAmbiente;17;9.9;13.9;;15.0;7.0;5.9;0.33;;0.7;4.0
2026-01-08;06:25;San Cristobal;24;1.5;4.6;8.2;14.0;9.0;0.1;0.31;0.7;1.3;1.4
2026-01-08;06:25;Movil 7ma;26;;;;5.7;7.7;;-9999.0;;;
2026-01-08;06:25;Bolivia;27;-9999.0;-9999.0;;22.6;8.1;-9999.0;-9999.0;;;-9999.0
2026-01-08;06:25;Fontibon;30;27.6;3.7;5.0;15.0;16.0;20.0;0.56;3.3;1.0;7.6
2026-01-08;06:25;Usme;32;30.3;4.8;;21.5;6.8;20.0;0.33;;0.8;10.3
2026-01-08;06:25;Jazmin;34;35.6;1.4;;25.5;11.7;29.6;0.45;;0.5;6.0
2026-01-08;06:25;Ciudad Bolivar;37;34.1;7.6;-9999.0;21.8;4.1;23.9;0.47;-9999.0;0.5;10.3
2026-01-08;06:25;Colina;38;7.5;14.8;;0.0;0.0;5.8;0.35;;0.8;1.8
2026-01-08;06:25;Movil Fontibon;39;-9999.0;;;15.5;8.2;-9999.0;-9999.0;;;-9999.0
2026-01-08;07:56;Usaquen;1;-9999;-9999;;0;0.3;-9999;-9999;;-9999;-9999
2026-01-08;07:56;Carvajal - Sevillana;3;;;;55;27;;1.03;;1.5;
2026-01-08;07:56;Tunal;4;57.6;3.7;7.1;18;15;11.8;-9999;4.2;0.1;45.8
2026-01-08;07:56;Centro de Alto Rendimiento;5;12.3;-9999;13.8;9.8;6.3;10.2;0.22;1.4;0.7;2.1
2026-01-08;07:56;Las Ferias;6;22.5;12.8;;6.4;9;14.3;0.43;;;8.3
2026-01-08;07:56;Guaymaral;8;8.2;15.6;;20;6;7;0.28;;0.3;1.2
2026-01-08;07:56;Kennedy;9;83.7;2.1;-9999;27;14.7;30.7;1.67;-9999;0.8;53.1
2026-01-08;07:56;Suba;11;33.2;1.9;;8.7;18;17.8;0.47;;1.5;15.5
2026-01-08;07:56;Puente Aranda;13;43.4;3;6.7;-9999;6.5;24.7;0.44;3.5;1.4;18.7
2026-01-08;07:56;MinAmbiente;17;18.4;11.5;;18;9;9.2;0.5;;0.7;9.2
2026-01-08;07:56;San Cristobal;24;1.5;8.7;7.1;19;12;0.1;0.38;1.1;1.2;1.4
2026-01-08;07:56;Movil 7ma;26;;;;7.2;7.1;;-9999;;;
2026-01-08;07:56;Bolivia;27;-9999;-9999;;26;6.7;-9999;-9999;;;-9999
2026-01-08;07:56;Fontibon;30;36.7;3.2;3.4;23.1;26;22.4;0.75;6.7;1.1;14.4
2026-01-08;07:56;Usme;32;14.6;16.5;;11.9;5.7;9.5;0.27;;3.8;5.1
2026-01-08;07:56;Jazmin;34;52.7;1.3;;19.3;10.7;31.3;0.69;;0.6;21.4
2026-01-08;07:56;Ciudad Bolivar;37;39.1;7.6;-9999;18.1;3.9;25.5;0.52;-9999;0.6;13.6
2026-01-08;07:56;Colina;38;7.5;14.8;;0;0;5.8;0.35;;0.8;1.8
2026-01-08;07:56;Movil Fontibon;39;-9999;;;18.2;8;-9999;-9999;;;-9999
