Fecha;Hora;name;stationId;NO;PM10;NOX;CO;eBC;PM25;NO2;SO2;BBP;OZONO
2026-01-02;00:30;Colina;38;1.8;0.0;7.5;0.35;;0.0;5.8;0.8;;14.8
2026-01-02;00:30;Movil Fontibon;39;-9999.0;15.8;-9999.0;-9999.0;;6.6;-9999.0;;;
2026-01-02;01:40;Usaquen;1;-9999.0;0.0;-9999.0;-9999.0;;0.1;-9999.0;-9999.0;;-9999.0
2026-01-02;01:40;Carvajal - Sevillana;3;;55.0;;1.03;;27.0;;1.5;;
2026-01-02;01:40;Tunal;4;30.8;42.0;35.4;-9999.0;0.6;10.0;4.6;1.4;16.7;7.6
2026-01-02;01:40;Centro de Alto Rendimiento;5;2.1;7.4;9.5;0.2;1.1;3.8;7.5;0.8;9.9;-9999.0
2026-01-02;01:40;Las Ferias;6;0.0;6.5;4.0;0.27;;6.0;3.9;;;12.0
2026-01-02;01:40;Guaymaral;8;-1.2;17.0;2.7;0.28;;5.0;3.9;0.4;;8.1
2026-01-02;01:40;Kennedy;9;6.7;18.2;23.3;0.78;-9999.0;9.1;16.7;1.1;-9999.0;2.1
2026-01-02;01:40;Suba;11;1.2;6.9;10.1;0.27;;8.0;8.9;0.5;;2.5
2026-01-02;01:40;Puente Aranda;13;13.7;1.5;28.8;0.22;1.2;3.6;15.3;1.3;9.0;3.5
2026-01-02;01:40;MinAmbiente;17;1.1;15.0;6.9;0.31;;3.0;5.8;0.6;;7.3
2026-01-02;01:40;San Cristobal;24;1.3;5.0;1.4;0.18;0.3;8.0;0.1;1.0;3.1;9.7
2026-01-02;01:40;Movil 7ma;26;;8.5;;-9999.0;;1.6;;;;
2026-01-02;01:40;Bolivia;27;-9999.0;30.0;-9999.0;-9999.0;;2.1;-9999.0;;;-9999.0
2026-01-02;01:40;Fontibon;30;13.4;15.0;30.3;0.52;1.8;20.0;17.0;1.0;20.0;1.7
2026-01-02;01:40;Usme;32;1.7;9.7;6.7;0.14;;3.0;5.0;2.0;;12.5
2026-01-02;01:40;Jazmin;34;1.0;11.6;9.0;0.13;;5.9;8.0;1.1;;9.4
2026-01-02;01:40;Ciudad Bolivar;37;16.7;12.8;31.1;0.15;1.4;3.9;14.3;1.5;15.2;8.4
2026-01-02;01:40;Colina;38;1.8;0.0;7.5;0.35;;0.0;5.8;0.8;;14.8
2026-01-02;01:40;Movil Fontibon;39;-9999.0;10.7;-9999.0;-9999.0;;5.5;-9999.0;;;
2026-01-02;02:28;Usaquen;1;-9999.0;0.9;-9999.0;-9999.0;;0.7;-9999.0;-9999.0;;-9999.0
2026-01-02;02:28;Carvajal - Sevillana;3;;55.0;;1.03;;27.0;;1.5;;
2026-01-02;02:28;Tunal;4;28.9;42.0;31.8;-9999.0;0.4;12.0;2.9;1.3;14.4;9.1
2026-01-02;02:28;Centro de Alto Rendimiento;5;3.1;10.1;10.6;0.21;1.2;4.7;7.6;0.7;10.0;-9999.0
2026-01-02;02:28;Las Ferias;6;0.1;6.0;5.6;0.28;;5.0;5.4;;;9.3
2026-01-02;02:28;Guaymaral;8;9.0;20.0;18.4;0.38;;3.0;9.4;0.6;;3.0
2026-01-02;02:28;Kennedy;9;6.3;13.8;20.9;0.62;-9999.0;6.7;14.6;1.8;-9999.0;4.9
2026-01-02;02:28;Suba;11;1.6;10.3;9.0;0.22;;6.0;7.5;0.4;;3.1
2026-01-02;02:28;Puente Aranda;13;2.6;1.2;10.9;0.06;0.9;3.2;8.3;1.4;4.6;7.6
2026-01-02;02:28;MinAmbiente;17;1.1;9.0;5.2;0.28;;1.0;4.2;0.6;;9.8
2026-01-02;02:28;San Cristobal;24;1.4;6.0;1.5;0.17;0.2;7.0;0.1;1.0;0.7;8.8
2026-01-02;02:28;Movil 7ma;26;;9.2;;-9999.0;;1.5;;;;
2026-01-02;02:28;Bolivia;27;-9999.0;25.1;-9999.0;-9999.0;;2.1;-9999.0;;;-9999.0
2026-01-02;02:28;Fontibon;30;3.6;11.0;18.0;0.42;1.2;6.0;14.4;0.7;11.0;2.9
2026-01-02;02:28;Usme;32;1.7;5.6;6.5;0.16;;2.7;4.9;3.7;;10.6
2026-01-02;02:28;Jazmin;34;1.0;8.3;9.2;0.12;;5.5;8.2;0.9;;8.5
2026-01-02;02:28;Ciudad Bolivar;37;13.5;11.2;25.6;0.09;0.7;3.9;12.1;1.4;17.6;9.7
2026-01-02;02:28;Colina;38;1.8;0.0;7.5;0.35;;0.0;5.8;0.8;;14.8
2026-01-02;02:28;Movil Fontibon;39;-9999.0;28.5;-9999.0;-9999.0;;5.2;-9999.0;;;
2026-01-02;03:35;Usaquen;1;-9999;5;-9999;-9999;;3.5;-9999;-9999;;-9999
2026-01-02;03:35;Carvajal - Sevillana;3;;55;;1.03;;27;;1.5;;
2026-01-02;03:35;Tunal;4;29.6;28;32;-9999;0.6;8;2.4;1.6;4.4;9.1
2026-01-02;03:35;Centro de Alto Rendimiento;5;2.8;9.3;10.1;0.2;1;5.4;7.3;0.7;10.7;-9999
2026-01-02;03:35;Las Ferias;6;5.3;5.6;18.7;0.35;;5;13.5;;;1.9
2026-01-02;03:35;Guaymaral;8;16.3;18;27.1;0.41;;3;10.7;0.8;;0.5
2026-01-02;03:35;Kennedy;9;7.1;11.9;22.2;0.59;-9999;8.5;15.1;1.7;-9999;3.2
2026-01-02;03:35;Suba;11;4.9;11.8;14.9;0.23;;3;10;0.5;;1.7
2026-01-02;03:35;Puente Aranda;13;2;1;10.3;0.04;0.9;3.1;8.3;1.3;4.7;6.9
2026-01-02;03:35;MinAmbiente;17;0.7;9;3.3;0.24;;0;2.6;0.6;;10.9
2026-01-02;03:35;San Cristobal;24;1.4;6;1.5;0.16;0.3;6;0.1;0.9;2.6;7.6
2026-01-02;03:35;Movil 7ma;26;;6.8;;-9999;;1.6;;;;
2026-01-02;03:35;Bolivia;27;-9999;17.5;-9999;-9999;;4.2;-9999;;;-9999
2026-01-02;03:35;Fontibon;30;20.9;15;35.2;0.47;1.9;9;14.3;1.5;13.1;2.4
2026-01-02;03:35;Usme;32;2.4;3.9;9;0.15;;3.2;6.6;6.9;;8.7
2026-01-02;03:35;Jazmin;34;0.8;10;8.6;0.11;;5.4;7.8;0.8;;8.1
2026-01-02;03:35;Ciudad Bolivar;37;13.5;12.9;32.5;0.14;1.2;3.9;19;1.5;10.9;4.8
2026-01-02;03:35;Colina;38;1.8;0;7.5;0.35;;0;5.8;0.8;;14.8
2026-01-02;03:35;Movil Fontibon;39;-9999;55.4;-9999;-9999;;6.3;-9999;;;
